_nt,Key,Title,原因代码,原始返回
meniscus explants as a platform for evaluating cell based strategies for avascular meniscus repair a literature review,WC5CA4H3,Meniscus Explants as a Platform for Evaluating Cell-Based Strategies for Avascular Meniscus Repair: A Literature Review,1,【原因代码】: 1
deepdti high fidelity six direction diffusion tensor deep learning,YAYRKZLZ,DeepDTI: High-fidelity six-direction diffusion tensor deep learning,1,【原因代码】: 1
normal growth sexual dimorphism and lateral asymmetries at fetal brain mri,4DYJD7NR,"Normal Growth, Sexual Dimorphism, and Lateral Asymmetries at Fetal Brain MRI",1,【原因代码】: 1
eccentric movements of temporomandibular joint and upper airway volume three dimensional segmentation using cone beam computed tomography,ZLNYC3X4,Eccentric movements of temporomandibular joint and upper airway volume: Three-dimensional segmentation using cone beam computed tomography,3,【原因代码】: 3
multi analytical framework to assess the in vitro swallowability of solid oral dosage forms targeting patient acceptability and adherence,Z5PW9R3S,Multi-Analytical Framework to Assess the In Vitro Swallowability of Solid Oral Dosage Forms Targeting Patient Acceptability and Adherence,1,【原因代码】: 1
mandibular stability and condylar changes following orthognathic surgery in mandibular hypoplasia patients associated with preoperative condylar resorption,ZPAI37L6,Mandibular stability and condylar changes following orthognathic surgery in mandibular hypoplasia patients associated with preoperative condylar resorption,3,【原因代码】: 3
extraction of 3d trajectories of mandibular condyles from 2d real time mri,52XQ7XHB,Extraction of 3D trajectories of mandibular condyles from 2D real-time MRI,3,【原因代码】: 3
clinical accuracy of three intraoral scanners for determining an increased vertical dimension of occlusion a pilot study,VSFK7GD6,Clinical accuracy of three intraoral scanners for determining an increased vertical dimension of occlusion: A pilot study,3,【原因代码】: 3
arthronavi framework stereo endoscope guided instrument localization for arthroscopic minimally invasive surgeries,C2PA3TK7,ArthroNavi framework: stereo endoscope-guided instrument localization for arthroscopic minimally invasive surgeries,1,【原因代码】: 1
landscape of tooth regeneration research a dual database bibliometric analysis,PUNIEIE6,Landscape of Tooth Regeneration Research: A Dual-Database Bibliometric Analysis,2,【原因代码】: 2
influence of framework material on the global and region specific fabrication accuracy and fit of 3 unit screw retained implant frameworks,27MWKWPV,Influence of framework material on the global and region-specific fabrication accuracy and fit of 3-unit screw-retained implant frameworks,3,【原因代码】: 3
effect of different cad cam milling and 3d printing digital fabrication techniques on the accuracy of pmma working models and vertical marginal fit of pmma provisional dental prosthesis an in vitro study,DLN24UBD,Effect of Different CAD/CAM Milling and 3D Printing Digital Fabrication Techniques on the Accuracy of PMMA Working Models and Vertical Marginal Fit of PMMA Provisional Dental Prosthesis: An In Vitro Study,3,【原因代码】: 3
critical roles of fgf ra and wnt signalling in the development of the human otic placode and subsequent lineages in a dish,QN6MR28B,"Critical roles of FGF, RA, and WNT signalling in the development of the human otic placode and subsequent lineages in a dish",1,【原因代码】: 1
intelligent geometry compensation for additive manufactured oral maxillary stent by genetic algorithm and backpropagation network,QHUP7V97,Intelligent geometry compensation for additive manufactured oral maxillary stent by genetic algorithm and backpropagation network,3,【原因代码】: 3
evaluation of root angulations through panoramic films using artificial intelligence,AAF545N2,Evaluation of Root Angulations Through Panoramic Films Using Artificial Intelligence,3,【原因代码】: 3
explainable deep learning framework for classifying mandibular fractures on panoramic radiographs,NZXWSQ9R,Explainable Deep Learning Framework for Classifying Mandibular Fractures on Panoramic Radiographs,3,【原因代码】: 3
conservation of pyramidal tract in radiosurgery for brain metastases of lung adenocarcinoma three dimensional analysis of biologically effective dose,C2P5C3Y8,Conservation of pyramidal tract in radiosurgery for brain metastases of lung adenocarcinoma: Three-dimensional analysis of biologically effective dose,1,【原因代码】: 1
x ray microtomographic evaluation of the absolute marginal fit of fixed prostheses made from soft co cr and zirconia,RJLY54ML,X-ray microtomographic evaluation of the absolute marginal fit of fixed prostheses made from soft Co-Cr and zirconia,3,【原因代码】: 3
interpretable two stage deep learning for pediatric obstructive sleep apnea diagnosis using lateral cephalograms,7XYUKH88,Interpretable two-stage deep learning for pediatric obstructive sleep apnea diagnosis using lateral cephalograms,3,【原因代码】: 3
evaluation of accuracy of photogrammetry with 3d scanning and conventional impression method for craniomaxillofacial defects using a software analysis,64LU2QXD,Evaluation of accuracy of photogrammetry with 3D scanning and conventional impression method for craniomaxillofacial defects using a software analysis,2,【原因代码】: 2
innovative 3d printed dental teaching model for root canal treatment simulation,8URSL2ZJ,Innovative 3D-printed dental teaching model for root canal treatment simulation,3,【原因代码】: 3
three dimensional finite element analysis of full arch implant supported dental restorations complete vs segmented frameworks,RLHZZQIF,Three-dimensional finite element analysis of full-arch implant-supported dental restorations: complete vs. segmented frameworks,3,【原因代码】: 3
customized flexible osteoid electrode for traumatic brain injury induced posttraumatic epilepsy monitoring,6LNYCSEG,Customized Flexible Osteoid Electrode for Traumatic Brain Injury Induced Posttraumatic Epilepsy Monitoring,1,【原因代码】: 1
relation between cad dimensional parameters and framework fracture in zirconia full arch implant rehabilitation an observational cohort study,6JHD55S3,Relation between CAD dimensional parameters and framework fracture in zirconia full arch implant rehabilitation: An observational cohort study,3,【原因代码】: 3
morphology and function dual adjustable biomimetic 4d printed scaffold for the regenerative restoration of complex bone defects,TLW8WS3P,Morphology and Function Dual-Adjustable Biomimetic 4D-Printed Scaffold for the Regenerative Restoration of Complex Bone Defects,3,【原因代码】: 3
a new deep learning algorithm for detecting spinal metastases on computed tomography images,4MS9MATQ,A New Deep Learning Algorithm for Detecting Spinal Metastases on Computed Tomography Images,1,【原因代码】: 1
bayesian prediction of multivariate ecology from phenotypic data yields new insights into the diets of extant and extinct taxa,GCESDLZC,Bayesian Prediction of Multivariate Ecology from Phenotypic Data Yields New Insights into the Diets of Extant and Extinct Taxa,1,【原因代码】: 1
three dimensional tooth model reconstruction using statistical randomization based particle swarm optimization,2M6V9TT2,Three-Dimensional Tooth Model Reconstruction Using Statistical Randomization-Based Particle Swarm Optimization,3,【原因代码】: 3
microrobotics for precision biofilm diagnostics and treatment,ZGJK5PD2,Microrobotics for Precision Biofilm Diagnostics and Treatment,3,【原因代码】: 3
clinical feasibility of deep learning based automatic head cbct image segmentation and landmark detection in computer aided surgical simulation for orthognathic surgery,MU6UNASA,Clinical feasibility of deep learning-based automatic head CBCT image segmentation and landmark detection in computer- aided surgical simulation for orthognathic surgery,3,【原因代码】: 3
borocarbonitrides nanosheets engineered 3d printed scaffolds for integrated strategy of osteosarcoma therapy and bone regeneration,ERII8SC2,Borocarbonitrides nanosheets engineered 3D-printed scaffolds for integrated strategy of osteosarcoma therapy and bone regeneration,3,【原因代码】: 3
randomized crossover study of immersive planning in craniomaxillofacial trauma comparing virtual reality and workstation workflows,LQZ2C4X4,Randomized crossover study of immersive planning in craniomaxillofacial trauma comparing virtual reality and workstation workflows,3,【原因代码】: 3
reorientation methodology for reproducible head posture in serial cone beam computed tomography images,W4VK5BNE,Reorientation methodology for reproducible head posture in serial cone beam computed tomography images,3,【原因代码】: 3
examining the influence of freehand pilot guided and fully guided surgical protocols on the accuracy of immediately placed implants an in vitro study,UCYUH8Y6,"Examining the Influence of Freehand, Pilot-Guided, and Fully Guided Surgical Protocols on the Accuracy of Immediately Placed Implants-An In Vitro Study",3,【原因代码】: 3
on the feasibility of minimally invasive le fort i with patient specific implants proof of concept,WGAXESY9,On the feasibility of minimally invasive Le Fort I with patient-specific implants: Proof of concept,3,【原因代码】: 3
retracted early diagnosis of oral cancer using a hybrid arrangement of deep belief networkand combined group teaching algorithm retracted article see vol 15 2025,PZ65JJ6U,"RETRACTED: Early diagnosis of oral cancer using a hybrid arrangement of deep belief networkand combined group teaching algorithm (Retracted article. See vol. 15, 2025)",2,【原因代码】: 2
effect of registration methods on accuracy and efficiency of dynamic computer assisted implant surgery an in vitro study,SLQBLEG4,Effect of registration methods on accuracy and efficiency of dynamic computer-assisted implant surgery: An in vitro study,3,【原因代码】: 3
comparison of three dimensional tooth movements in virtual setups using different software packages for clear aligner therapy,E2M3G8UJ,Comparison of three-dimensional tooth movements in virtual setups using different software packages for clear aligner therapy,3,【原因代码】: 3
icex advances in the automatic extraction and volume calculation of cranial cavities,49MPN24G,Icex: Advances in the automatic extraction and volume calculation of cranial cavities,1,【原因代码】: 1
premolar and molar inclination changes following micro implant assisted maxillary skeletal expander mse a three dimensional analysis and visualization,HPTKUJ9W,Premolar and Molar Inclination Changes Following Micro-Implant-Assisted Maxillary Skeletal Expander (MSE): A Three-Dimensional Analysis and Visualization,3,【原因代码】: 3
the impacts of registration and fixation device positioning on the performance of implant placement assisted by dynamic computer aided surgery a randomized controlled trial,3RGXD3QU,The impacts of registration-and-fixation device positioning on the performance of implant placement assisted by dynamic computer-aided surgery: A randomized controlled trial,3,【原因代码】: 3
an open source ai tool for predicting cephalometric measurements from clinical data and photographic images,GMX68ZMT,An open-source AI tool for predicting cephalometric measurements from clinical data and photographic images,3,【原因代码】: 3
image navigator based automated coronary magnetic resonance angiography for the detection of coronary artery stenosis,Z8IXXBA4,"Image navigator-based, automated coronary magnetic resonance angiography for the detection of coronary artery stenosis",1,【原因代码】: 1
generating tooth organoids using defined bioorthogonally cross linked hydrogels,Y3KDF7PV,Generating Tooth Organoids Using Defined Bioorthogonally Cross-Linked Hydrogels,3,【原因代码】: 3
3 d printing of chitosan msn dexamethasone scaffold with enhanced properties for bone tissue engineering,TD9AZRV4,3-D printing of chitosan-MSN@dexamethasone scaffold with enhanced properties for bone tissue engineering,1,【原因代码】: 1
accuracy of removable partial denture metal frameworks fabricated by computer aided design computer aided manufacturing method a systematic review and meta analysis,WIWXEEA2,ACCURACY OF REMOVABLE PARTIAL DENTURE METAL FRAMEWORKS FABRICATED BY COMPUTER-AIDED DESIGN/COMPUTER-AIDED MANUFACTURING METHOD: A SYSTEMATIC REVIEW AND META-ANALYSIS,2,【原因代码】: 2
three dimensional virtual planning in mandibular advancement surgery soft tissue prediction based on deep learning,JVRN27GF,Three-dimensional virtual planning in mandibular advancement surgery: Soft tissue prediction based on deep learning,3,【原因代码】: 3
digital workflow for fabricating a patient specific detachable 3d printing model for mesiodens extraction to enhance surgical planning and dental education,NRXIPVW4,Digital workflow for fabricating a patient-specific detachable 3D-printing model for mesiodens extraction to enhance surgical planning and dental education,3,【原因代码】: 3
comparative evaluation of biocompatibility between conventional and computer aided design computer aided manufacturing dental polymers using a golden hamster model,E96AE39Q,Comparative Evaluation of Biocompatibility between Conventional and Computer-Aided Design/Computer-Aided Manufacturing Dental Polymers Using a Golden Hamster Model,3,【原因代码】: 3
imaging and 3d analysis based on two or more three dimensional cbct recordings before and after orthodontic treatment and maxillofacial therapy,4BLBU3YQ,Imaging and 3D Analysis Based on Two or More Three-Dimensional CBCT Recordings before and after Orthodontic Treatment and Maxillofacial Therapy,3,【原因代码】: 3
three dimensional segmentation assisted with clustering analysis for surface and volume measurements of equine incisor in multidetector computed tomography data sets,5LNT9GNU,Three-Dimensional Segmentation Assisted with Clustering Analysis for Surface and Volume Measurements of Equine Incisor in Multidetector Computed Tomography Data Sets,1,【原因代码】: 1
integrating additive and traditional manufacturing for multiscale bone tissue engineering scaffolds,VU4ZQG5L,Integrating Additive and Traditional Manufacturing for Multiscale Bone Tissue Engineering Scaffolds,1,【原因代码】: 1
intraoral scanners for in vivo 3d imaging of the gingiva and the alveolar process,SXRLMTP9,Intraoral Scanners for In Vivo 3D Imaging of the Gingiva and the Alveolar Process,3,【原因代码】: 3
the butterfly effect in oral and maxillofacial surgery understanding and applying chaos theory and complex systems principles,Q9W8VEJT,The butterfly effect in oral and maxillofacial surgery: Understanding and applying chaos theory and complex systems principles,2,【原因代码】: 2
robust and precise isotropic scaling registration algorithm using bi directional distance and correntropy,BITQ8URU,Robust and precise isotropic scaling registration algorithm using bi-directional distance and correntropy,3,【原因代码】: 3
accuracy of a patient 3 dimensional virtual representation obtained from the superimposition of facial and intraoral scans guided by extraoral and intraoral scan body systems,HVA6JLX4,Accuracy of a patient 3-dimensional virtual representation obtained from the superimposition of facial and intraoral scans guided by extraoral and intraoral scan body systems,3,【原因代码】: 3
evaluation of the marginal and internal gaps in 3d printed interim crowns using different finish line detection methods an in vitro study,JL3QCSFC,Evaluation of the marginal and internal gaps in 3D-printed interim crowns using different finish line detection methods: An in vitro study,3,【原因代码】: 3
combining 3d multi object reconstruction with finite element analysis for accurate dental modelling and restoration,LIFEJWBH,Combining 3D Multi-Object Reconstruction with Finite Element Analysis for Accurate Dental Modelling and Restoration,3,【原因代码】: 3
in vivo trueness and precision of full arch implant scans using intraoral scanners with three different acquisition protocols,RB2EMABN,In vivo trueness and precision of full-arch implant scans using intraoral scanners with three different acquisition protocols,3,【原因代码】: 3
development and validation of an automated algorithm for palatal rugae matching in forensic identification,QQWNE6RN,Development and validation of an automated algorithm for palatal rugae matching in forensic identification,1,【原因代码】: 1
a modular phantom and software to characterize 3d geometric distortion in mri,3H84KYQG,A modular phantom and software to characterize 3D geometric distortion in MRI,1,【原因代码】: 1
adjunctive therapies in periodontitis current concepts and the future,RFQCJLX7,Adjunctive Therapies in Periodontitis: Current Concepts and the Future,2,【原因代码】: 2
monocular depth estimation based on deep learning for intraoperative guidance using surface enhanced raman scattering imaging,973NY5AQ,Monocular depth estimation based on deep learning for intraoperative guidance using surface-enhanced Raman scattering imaging,1,【原因代码】: 1
mechanical and biological properties of polymer materials for oral appliances produced with additive 3d printing and subtractive cad cam techniques compared to conventional methods a systematic review and meta analysis,HWUQ4VDF,Mechanical and biological properties of polymer materials for oral appliances produced with additive 3D printing and subtractive CAD-CAM techniques compared to conventional methods: a systematic review and meta-analysis,2,【原因代码】: 2
mechanical performance of chairside ceramic cad cam restorations and zirconia abutments with different internal implant connections in vitro study and finite element analysis,KLM4ETUM,Mechanical Performance of Chairside Ceramic CAD/CAM Restorations and Zirconia Abutments with Different Internal Implant Connections: In Vitro Study and Finite Element Analysis,3,【原因代码】: 3
enhanced regeneration of large segmental bone defects via hierarchically structured bioactive scaffolds,NP8A4Z4R,Enhanced regeneration of large segmental bone defects via hierarchically structured bioactive scaffolds,1,【原因代码】: 1
a multimodal explainable ai framework to assist in the differential diagnosis of head and neck reactive follicular hyperplasia and follicular lymphoma an international multicentre study,IBDZN4D8,A multimodal explainable ai framework to assist in the differential diagnosis of head and neck reactive follicular hyperplasia and follicular lymphoma: an international multicentre study,1,【原因代码】: 1
the application of virtual reality and augmented reality in dentistry a literature review,WJDRS6ZM,The application of virtual reality and augmented reality in dentistry - a literature review,2,【原因代码】: 2
spontaneous bone regeneration achieved through one step alignment of human mesenchymal stem cell embedded collagen,3TMAVBSZ,Spontaneous bone regeneration achieved through one-step alignment of human mesenchymal stem cell-embedded collagen,1,【原因代码】: 1
growth allometry and dental topography in upper triassic conodonts support trophic differentiation and molar like element function,MZW42EWD,Growth allometry and dental topography in Upper Triassic conodonts support trophic differentiation and molar-like element function,1,【原因代码】: 1
3d accuracy of a conventional method versus three digital scanning strategies for completely edentulous maxillary implant impressions,V5Q74ZT6,3D Accuracy of a Conventional Method Versus Three Digital Scanning Strategies for Completely Edentulous Maxillary Implant Impressions,3,【原因代码】: 3
training outcomes of novice clinicians in the use of dynamic computer assisted implant surgery a prospective comparative study,YGCBGMYR,Training outcomes of novice clinicians in the use of dynamic computer assisted implant surgery: A prospective comparative study,3,【原因代码】: 3
design and validation of a technology for 3d printing training phantoms for ultrasound imaging,BR63GR42,Design and validation of a technology for 3D printing training phantoms for ultrasound imaging,1,【原因代码】: 1
three dimensional periodontal investigations using a prototype handheld ultrasound scanner with spatial positioning reading sensor,MW553XBE,Three-dimensional periodontal investigations using a prototype handheld ultrasound scanner with spatial positioning reading sensor,3,【原因代码】: 3
micromagnify a multiplexed expansion microscopy method for pathogens and infected tissues,UQTGLARJ,MicroMagnify: A Multiplexed Expansion Microscopy Method for Pathogens and Infected Tissues,1,【原因代码】: 1
mandibular ramus height and condyle distance asymmetries in individuals with different facial growth patterns a cone beam computed tomography study,GST7YSMC,Mandibular ramus height and condyle distance asymmetries in individuals with different facial growth patterns: a cone-beam computed tomography study,3,【原因代码】: 3
effect of different storage conditions on dimensional accuracy of 3d printed dental models,RZZAIR96,Effect of different storage conditions on dimensional accuracy of 3D-printed dental models,3,【原因代码】: 3
direction oriented fiber guiding with a tunable tri layer 3d scaffold for periodontal regeneration,SB5HVH7V,Direction-oriented fiber guiding with a tunable tri-layer-3D scaffold for periodontal regeneration,3,【原因代码】: 3
three dimensionally printed implant surgical guide related experience knowledge attitude and professional behaviors among 2028 dentists in china a cross sectional study,7YM79VJK,"Three-dimensionally printed implant surgical guide-related experience, knowledge, attitude, and professional behaviors among 2028 dentists in China: A cross-sectional study",3,【原因代码】: 3
a method based on 3d affine alignment for the quantification of palatal expansion,F558I89A,A method based on 3D affine alignment for the quantification of palatal expansion,3,【原因代码】: 3
facial imaging to screen for fetal alcohol spectrum disorder a scoping review,HHE9ZNHG,Facial imaging to screen for fetal alcohol spectrum disorder: A scoping review,2,【原因代码】: 2
multi omics qualification of an organ on a chip model of osteolytic bone metastasis,JLUJUDNJ,Multi-omics qualification of an organ-on-a-chip model of osteolytic bone metastasis,1,【原因代码】: 1
human bone marrow organoids for disease modeling discovery and validation of therapeutic targets in hematologic malignancies,BNP6WFER,"Human Bone Marrow Organoids for Disease Modeling, Discovery, and Validation of Therapeutic Targets in Hematologic Malignancies",1,【原因代码】: 1
cad cam fabricated rpd frameworks show lower fit accuracy compared to conventional casting with indirect 3d printing offering comparable results,6TRMWJXT,"CAD/CAM-FABRICATED RPD FRAMEWORKS SHOW LOWER FIT ACCURACY COMPARED TO CONVENTIONAL CASTING, WITH INDIRECT 3D PRINTING OFFERING COMPARABLE RESULTS",2,【原因代码】: 2
polymeric sustained release chlorhexidine coating on gutta percha points for prolonged intracanal antimicrobial delivery an in vitro study,DKRR8WYW,Polymeric Sustained-Release Chlorhexidine Coating on Gutta-Percha Points for Prolonged Intracanal Antimicrobial Delivery: An In Vitro Study,3,【原因代码】: 3
investigation of autosegmentation techniques on t2 weighted mri for off line dose reconstruction in mr linac workflow for head and neck cancers,F97YEEH7,Investigation of autosegmentation techniques on T2-weighted MRI for off-line dose reconstruction in MR-linac workflow for head and neck cancers,1,【原因代码】: 1
point of care virtual surgical planning and 3d printing in oral and cranio maxillofacial surgery a narrative review,IM2XARSN,Point-of-Care Virtual Surgical Planning and 3D Printing in Oral and Cranio-Maxillofacial Surgery: A Narrative Review,2,【原因代码】: 2
strategic advances in drug delivery systems for overcoming solubility and permeability barriers in class ii and iv drugs,S2J59DAB,Strategic Advances in Drug Delivery Systems for Overcoming Solubility and Permeability Barriers in Class II and IV Drugs,1,【原因代码】: 1
influence of build orientation and storage duration on the accuracy of fused deposition modeling fabricated polyetheretherketone removable partial denture frameworks,GDMAIZ2U,Influence of build orientation and storage duration on the accuracy of fused deposition modeling-fabricated polyetheretherketone removable partial denture frameworks,3,【原因代码】: 3
3d encapsulation and tethering of functionally engineered extracellular vesicles to hydrogels,8ZUP3BK5,3D Encapsulation and tethering of functionally engineered extracellular vesicles to hydrogels,1,【原因代码】: 1
a micro ct integrated 3d simulation framework reveals fluid transport mechanisms and void dynamics in root canal fillings vol 16 8695 2026,6CX4VCHG,"A micro-CT-integrated 3D simulation framework reveals fluid transport mechanisms and void dynamics in root canal fillings (vol 16, 8695, 2026)",3,【原因代码】: 3
prosthodontic rehabilitation with all on four implant treatment combined cad cam prosthesis in an oral cancer patient a case report,256P6Y8Z,Prosthodontic rehabilitation with all-on-four implant treatment combined CAD/CAM prosthesis in an oral cancer patient: a case report,3,【原因代码】: 3
three dimensional printed hydroxyapatite bone substitutes designed by a novel periodic minimal surface algorithm are highly osteoconductive,UKZFIWZJ,Three-Dimensional Printed Hydroxyapatite Bone Substitutes Designed by a Novel Periodic Minimal Surface Algorithm Are Highly Osteoconductive,1,【原因代码】: 1
automatic bone segmentation for oral surgical planning,KJ7WANSF,Automatic bone segmentation for oral surgical planning,3,【原因代码】: 3
a digital approach to robust and esthetic implant overdenture construction,Q6877DG7,A digital approach to robust and esthetic implant overdenture construction,3,【原因代码】: 3
treatment efficiency of maxillary and mandibular orovestibular tooth expansion and compression movements with the invisalign system in adolescents and adults,Z96VKUQ8,Treatment Efficiency of Maxillary and Mandibular Orovestibular Tooth Expansion and Compression Movements with the Invisalign? System in Adolescents and Adults,3,【原因代码】: 3
cad cam resin composites effective components for further development,A8D7MDVM,CAD-CAM resin composites: Effective components for further development,2,【原因代码】: 2
radiomics in head and neck cancer outcome predictions,EYIXHX5T,Radiomics in Head and Neck Cancer Outcome Predictions,1,【原因代码】: 1
skeletal facial asymmetry reliability of manual and artificial intelligence driven analysis,RFPYNGAN,Skeletal facial asymmetry: reliability of manual and artificial intelligence-driven analysis,3,【原因代码】: 3
interrogating matrix stiffness and metabolomics in pancreatic ductal carcinoma using an openable microfluidic tumor on a chip,F57EZPWW,Interrogating Matrix Stiffness and Metabolomics in Pancreatic Ductal Carcinoma Using an Openable Microfluidic Tumor-on-a-Chip,1,【原因代码】: 1
a 3d perfusable platform for in vitro culture of patient derived xenografts,7J4XB85H,A 3D Perfusable Platform for In Vitro Culture of Patient Derived Xenografts,1,【原因代码】: 1
the cumulative effect of error in the digital workflow for complete arch implant supported frameworks an in vitro study,8YNE4S72,The cumulative effect of error in the digital workflow for complete-arch implant-supported frameworks: An in vitro study,3,【原因代码】: 3
advanced surface functionalization strategies for nanofibers in biomedical applications,D5QJTGL2,Advanced surface functionalization strategies for nanofibers in biomedical applications,2,【原因代码】: 2
bioinspired engineering of streamlined skeletal interoception neural bioprinted piezoelectric scaffolds for neuro vascularized bone regeneration,BDBVDMN6,Bioinspired Engineering of Streamlined Skeletal Interoception: Neural Bioprinted Piezoelectric Scaffolds for Neuro-Vascularized Bone Regeneration,1,【原因代码】: 1
narrative review of endodontic biomaterials,D2WS92KE,Narrative Review of Endodontic Biomaterials,2,【原因代码】: 2
marginal bone level of dental implants using computer aided design computer aided manufacturing customized abutment and prefabricated abutment a five year follow up,TGGBQBPM,Marginal bone level of dental implants using computer-aided design/computer-aided manufacturing customized abutment and prefabricated abutment-A five-year follow-up,3,【原因代码】: 3
digital workflow with open source cad cam software aimed to design a customized 3d laser printed titanium mesh for guided bone regeneration,E3EJX7HU,Digital Workflow with Open-Source CAD-CAM Software Aimed to Design a Customized 3D Laser-Printed Titanium Mesh for Guided Bone Regeneration,2,【原因代码】: 2
cytosimplex visualizing single cell fates and transitions on a simplex,JEDKF76G,CytoSimplex: visualizing single-cell fates and transitions on a simplex,1,【原因代码】: 1
tsegnet an efficient and accurate tooth segmentation network on 3d dental model,E77NGNB4,TSegNet: An efficient and accurate tooth segmentation network on 3D dental model,3,【原因代码】: 3
three tier framework for high throughput biofabrication integrating 3d bioprinting assistive platforms and translational opportunities,44IXGMK4,"Three-tier framework for high-throughput biofabrication: Integrating 3D bioprinting, assistive platforms, and translational opportunities",2,【原因代码】: 2
computed tomography imaging superimposition protocols to assess outcomes in orthognathic surgery a systematic review with comprehensive recommendations,H6Y8VXRG,Computed tomography imaging superimposition protocols to assess outcomes in orthognathic surgery: a systematic review with comprehensive recommendations,2,【原因代码】: 2
clinical translation of personalized bioengineered implant scaffolds,NUPSB4TJ,Clinical translation of personalized bioengineered implant scaffolds,2,【原因代码】: 2
a novel deep learning system for multi class tooth segmentation and classification on cone beam computed tomography a validation study,3HGFXD45,A novel deep learning system for multi-class tooth segmentation and classification on cone beam computed tomography. A validation study,3,【原因代码】: 3
a benchmark dual modality dental imaging dataset and a novel cognitively inspired pipeline for high resolution dental point cloud synthesis,SGT6ZTK7,A Benchmark Dual-Modality Dental Imaging Dataset and a Novel Cognitively Inspired Pipeline for High-Resolution Dental Point Cloud Synthesis,3,【原因代码】: 3
standardization of three dimensional pose of cylindrical implants from intraoral radiographs a preliminary study,3UWMQWHI,Standardization of three-dimensional pose of cylindrical implants from intraoral radiographs: a preliminary study,3,【原因代码】: 3
optimizing management of low back pain through the pain and disability drivers management model a feasibility trial,4M6YJLXK,Optimizing management of low back pain through the pain and disability drivers management model: A feasibility trial,1,【原因代码】: 1
automated diagnosis and classification of skeletal malocclusion using artificial intelligence on 2d facial photographs a multi modal deep learning approach,NEP6N6G8,Automated diagnosis and classification of skeletal malocclusion using artificial intelligence on 2D facial photographs: A multi-modal deep learning approach,3,【原因代码】: 3
advances and challenges in tissue engineering biomaterials cellular strategies and clinical applications,IZPCZXLD,"Advances and Challenges in Tissue Engineering: Biomaterials, Cellular Strategies, and Clinical Applications",2,【原因代码】: 2
dual functional drug delivery system for bisphosphonate related osteonecrosis prevention and its bioinspired releasing model and in vitro assessment,UX54LNBZ,Dual-Functional Drug Delivery System for Bisphosphonate-Related Osteonecrosis Prevention and Its Bioinspired Releasing Model and In Vitro Assessment,3,【原因代码】: 3
orthodontists perception thresholds for tooth movement detection in 3d digitally simulated models a cross sectional observational study,6A2NN8SY,Orthodontists' Perception Thresholds for Tooth Movement Detection in 3D Digitally Simulated Models: A Cross-Sectional Observational Study,3,【原因代码】: 3
proof of the equivalence between two frame and three frame optical sectioning structured illumination microscopy,ASH36X4K,Proof of the equivalence between two-frame and three-frame optical sectioning structured illumination microscopy,1,【原因代码】: 1
reverse design of complex ceramic shapes using deep learning and evolutionary algorithms,TL3XZG46,Reverse design of complex ceramic shapes using deep learning and evolutionary algorithms,1,【原因代码】: 1
extracellular vesicles in osteogenesis comparative analysis of stem cell sources conditioning strategies and in vitro models toward advanced bone regeneration,ZRQT6635,"Extracellular Vesicles in Osteogenesis: Comparative Analysis of Stem Cell Sources, Conditioning Strategies, and In Vitro Models Toward Advanced Bone Regeneration",1,【原因代码】: 1
beyond benchmarks towards robust artificial intelligence bone segmentation in socio technical systems,CY2XKUQA,Beyond benchmarks: Towards robust artificial intelligence bone segmentation in socio-technical systems,3,【原因代码】: 3
cad cam single prosthesis a 25 years bibliometric assessment of prosthetic outcomes,2EZG227B,CAD/CAM single prosthesis: A 25 years bibliometric assessment of prosthetic outcomes,2,【原因代码】: 2
mandibular canal segmentation from cbct image using 3d convolutional neural network with scse attention,C4RBNK8Y,Mandibular Canal Segmentation From CBCT Image Using 3D Convolutional Neural Network With scSE Attention,3,【原因代码】: 3
innovative designs of 3d scaffolds for bone tissue regeneration understanding principles and addressing challenges,3A2BSB26,Innovative designs of 3D scaffolds for bone tissue regeneration: Understanding principles and addressing challenges,2,【原因代码】: 2
refined surgical protocol for the insertion of bioactive coated titanium microscrews in the rat tibia,K8X9AYTL,Refined Surgical Protocol for the Insertion of Bioactive-coated Titanium Microscrews in the Rat Tibia,1,【原因代码】: 1
repositioning accuracy of the implant and abutment level prosthetic components used in conventional and digital workflows,Q4LJ92S4,Repositioning accuracy of the implant- and abutment-level prosthetic components used in conventional and digital workflows,3,【原因代码】: 3
biomechanics of dental implantation in the giant panda ailuropoda melanoleuca a comparative study using finite element analysis,NM8NYVD6,Biomechanics of Dental Implantation in the Giant Panda (Ailuropoda melanoleuca): A Comparative Study Using Finite Element Analysis,1,【原因代码】: 1
three dimensional cranial suture morphometric changes in young rats during normal growth,IWPHXENQ,Three-dimensional cranial suture morphometric changes in young rats during normal growth,1,【原因代码】: 1
patient satisfaction with cad cam 3d printed complete dentures a systematic analysis of the clinical studies,36MGJIUJ,Patient Satisfaction with CAD/CAM 3D-Printed Complete Dentures: A Systematic Analysis of the Clinical Studies,2,【原因代码】: 2
solid microemulsion preconcentrates on ph responsive metal organic framework for tableting,IM2JYIIY,Solid microemulsion preconcentrates on pH responsive metal-organic framework for tableting,1,【原因代码】: 1
automatic orbital segmentation using deep learning based 2d u net and accuracy evaluation a retrospective study,5SRGE8HN,Automatic orbital segmentation using deep learning-based 2D U-net and accuracy evaluation: A retrospective study,3,【原因代码】: 3
the ability to sustain facial expressions,9KBVLTBJ,The Ability to Sustain Facial Expressions,3,【原因代码】: 3
