_nt,Title,期刊,Item Type,Key,PassA,PassB,判定,证据,软件,专科,应用场景,研究设计,原始返回
hybrid photometric geometric 3d reconstruction framework for manufacturing oriented assessment of tablet surface cqas under pat rtrt,Hybrid Photometric-Geometric 3D Reconstruction Framework for Manufacturing-Oriented Assessment of Tablet Surface CQAs under PAT/RTRT,AAPS PHARMSCITECH,journalArticle,TPS8WUC4,,EXCLUDE,EXCLUDE,主题为药物片剂表面质量评估（制药领域），不属于口腔医学任一学科；证据片段中仅出现 Python（SciPy/NumPy）用于统计分析，未表明本研究使用具名第三方非牙科3D软件进行3D数据处理/建模/测量。,-,-,-,-,"【判定】: EXCLUDE
【证据】: 主题为药物片剂表面质量评估（制药领域），不属于口腔医学任一学科；证据片段中仅出现 Python（SciPy/NumPy）用于统计分析，未表明本研究使用具名第三方非牙科3D软件进行3D数据处理/建模/测量。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
motion correction for separate mandibular and cranial movements in cone beam ct reconstructions,Motion correction for separate mandibular and cranial movements in cone beam CT reconstructions,MEDICAL PHYSICS,journalArticle,DA9LWSBD,,EXCLUDE,EXCLUDE,"证据片段中未出现任何具名第三方非牙科3D软件被本研究自身使用的表述。片段中提到的软件/工具（如 PointRend、Mask-RCNN、AnatomyNet、Marching Cubes）均为深度学习分割网络或算法，且 Marching Cubes 为算法而非具名第三方软件；文中 ""we use the nonlinear conjugate gradient method""、""we perform 2D segmentations... by using the segmentation network PointRend"" 表明本研究使用的是自研算法与深度学习模型，未使用纳入标准所列的具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中未出现任何具名第三方非牙科3D软件被本研究自身使用的表述。片段中提到的软件/工具（如 PointRend、Mask-RCNN、AnatomyNet、Marching Cubes）均为深度学习分割网络或算法，且 Marching Cubes 为算法而非具名第三方软件；文中 ""we use the nonlinear conjugate gradient method""、""we perform 2D segmentations... by using the segmentation network PointRend"" 表明本研究使用的是自研算法与深度学习模型，未使用纳入标准所列的具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
a graph neural network framework for mapping histological topology in oral mucosal tissue,A graph neural network framework for mapping histological topology in oral mucosal tissue,BMC BIOINFORMATICS,journalArticle,VW2QVI5W,,EXCLUDE,EXCLUDE,"证据片段中仅出现 ""3D Histech Midi Scanner System"" 和 ""CaseViewer""（切片扫描仪及配套查看软件），未出现任何本研究自身使用的具名第三方非牙科三维软件（如 Mimics、3D Slicer、MATLAB 等）用于3D数据处理、分析、建模或测量的表述；研究核心为自建 CNN/GNN 深度学习流程，属自研模型，无第三方3D软件使用证据。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中仅出现 ""3D Histech Midi Scanner System"" 和 ""CaseViewer""（切片扫描仪及配套查看软件），未出现任何本研究自身使用的具名第三方非牙科三维软件（如 Mimics、3D Slicer、MATLAB 等）用于3D数据处理、分析、建模或测量的表述；研究核心为自建 CNN/GNN 深度学习流程，属自研模型，无第三方3D软件使用证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
injectable and 3d printed hydrogels state of the art platform for bone regeneration in dentistry,Injectable and 3D-printed hydrogels: State-of-the-art platform for bone regeneration in dentistry,INORGANIC CHEMISTRY COMMUNICATIONS,journalArticle,NCZWT798,,EXCLUDE,EXCLUDE,"该文献为综述（题名 ""State-of-the-art platform""、摘要 ""This study reviews hydrogel-related dental bone tissue engineering""），且证据片段中出现的 ""CAD""、""3D printing"" 等仅为泛述或引用他人研究（如 ""A person-alized treatment could be completed using computer-aided design (CAD) models""），未表明本研究自身在材料与方法中使用某一具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 该文献为综述（题名 ""State-of-the-art platform""、摘要 ""This study reviews hydrogel-related dental bone tissue engineering""），且证据片段中出现的 ""CAD""、""3D printing"" 等仅为泛述或引用他人研究（如 ""A person-alized treatment could be completed using computer-aided design (CAD) models""），未表明本研究自身在材料与方法中使用某一具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
precise point set registration based on feature fusion,Precise Point Set Registration Based on Feature Fusion,COMPUTER JOURNAL,journalArticle,U3JKMSXD,,EXCLUDE,EXCLUDE,"证据片段中未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）被本研究使用的表述；文中仅描述""we propose an automatic extraction method combining the principal component analysis projection and density-based clustering method""等自研算法，无 ""we used / were analysed using / imported into / processed in"" 等表明使用具名第三方软件的证据。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）被本研究使用的表述；文中仅描述""we propose an automatic extraction method combining the principal component analysis projection and density-based clustering method""等自研算法，无 ""we used / were analysed using / imported into / processed in"" 等表明使用具名第三方软件的证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
feature extraction for margin lines using region growing with a dynamic weight function in a one point bidirectional path search,Feature extraction for margin lines using region growing with a dynamic weight function in a one-point bidirectional path search,JOURNAL OF COMPUTATIONAL DESIGN AND ENGINEERING,journalArticle,GK77S9CY,,EXCLUDE,EXCLUDE,"证据片段仅显示该研究提出了自研算法（""we propose a bidirectional path-search algorithm using a single input point""），并与""a commercial dental CAD system""及""previous works""进行比较，但未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）被本研究使用的表述（无 ""we used / were analysed using / imported into / processed in"" 等指向具名软件的语句）。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段仅显示该研究提出了自研算法（""we propose a bidirectional path-search algorithm using a single input point""），并与""a commercial dental CAD system""及""previous works""进行比较，但未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）被本研究使用的表述（无 ""we used / were analysed using / imported into / processed in"" 等指向具名软件的语句）。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
three dimensional complementary breast ultrasound 3d cbus improving 3d spatial resolution uniformity with orthogonal images,Three-dimensional complementary breast ultrasound (3D CBUS): Improving 3D spatial resolution uniformity with orthogonal images,MEDICAL PHYSICS,journalArticle,9B9AU6TU,,EXCLUDE,EXCLUDE,"该研究主题为乳腺超声三维成像（breast ultrasound），不属于口腔医学任一学科；虽方法学片段中出现 ""manually segmenting five spherical inclusions within the inclusion phantom using 3D Slicer (3D Slicer, Version 5.2.2)""，表明本研究使用了非牙科3D软件，但主题不符纳入标准第1条。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 该研究主题为乳腺超声三维成像（breast ultrasound），不属于口腔医学任一学科；虽方法学片段中出现 ""manually segmenting five spherical inclusions within the inclusion phantom using 3D Slicer (3D Slicer, Version 5.2.2)""，表明本研究使用了非牙科3D软件，但主题不符纳入标准第1条。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
transverse maxillary correction leaf expander vs rapid maxillary expansion appliances a systematic review and meta analysis,Transverse Maxillary Correction: Leaf Expander vs. Rapid Maxillary Expansion Appliances-A Systematic Review and Meta-Analysis,CHILDREN-BASEL,journalArticle,A42J5F8W,,EXCLUDE,EXCLUDE,"该文献为系统综述与Meta分析（""A systematic review was conducted in accordance with PRISMA 2020 guidelines""），方法学中仅使用统计软件 R 4.3.1（""The software used was R 4.3.1""），未使用任何具名第三方非牙科三维（3D）软件进行3D数据处理、分析、建模或测量；文中提及的三维分割分析（""three-dimensional segmentation analysis""）系引用 Ugolini et al. 的他文研究，非本研究自身使用。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 该文献为系统综述与Meta分析（""A systematic review was conducted in accordance with PRISMA 2020 guidelines""），方法学中仅使用统计软件 R 4.3.1（""The software used was R 4.3.1""），未使用任何具名第三方非牙科三维（3D）软件进行3D数据处理、分析、建模或测量；文中提及的三维分割分析（""three-dimensional segmentation analysis""）系引用 Ugolini et al. 的他文研究，非本研究自身使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
does crown root and bone visualization in a clear aligner virtual setup impact treatment decisions,"Does crown, root, and bone visualization in a clear aligner virtual setup impact treatment decisions?",AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,journalArticle,AULZ2CKN,,EXCLUDE,EXCLUDE,"证据片段中出现的软件为 ""3D Predict aligner system""（牙科专用正畸治疗计划软件）及 ""REDCap""（用于数据采集与管理的网络平台，非3D数据处理/分析/建模/测量软件）。片段中未出现任何本研究自身使用具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic 等）进行3D数据处理、分析、建模或测量的表述。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中出现的软件为 ""3D Predict aligner system""（牙科专用正畸治疗计划软件）及 ""REDCap""（用于数据采集与管理的网络平台，非3D数据处理/分析/建模/测量软件）。片段中未出现任何本研究自身使用具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic 等）进行3D数据处理、分析、建模或测量的表述。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
digitally fabricated dentures for full mouth rehabilitation with zirconia polyetheretherketone and selective laser melted ti 6al 4v material,"Digitally Fabricated Dentures for Full Mouth Rehabilitation with Zirconia, Polyetheretherketone and Selective Laser Melted Ti-6Al-4V Material",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,journalArticle,9TZHBXIG,,EXCLUDE,EXCLUDE,"该研究仅使用了牙科专用软件（Exocad DentalCAD）进行设计，未使用任何具名的第三方非牙科3D软件。证据片段中出现的软件为 ""CAD software (Exocad DentalCAD, exocad GmbH, Darmstadt, Germany)""，属于牙科专用软件，不符合纳入标准第2条。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 该研究仅使用了牙科专用软件（Exocad DentalCAD）进行设计，未使用任何具名的第三方非牙科3D软件。证据片段中出现的软件为 ""CAD software (Exocad DentalCAD, exocad GmbH, Darmstadt, Germany)""，属于牙科专用软件，不符合纳入标准第2条。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
oral ct image processing based on oral ct image filtering algorithm,Oral CT Image Processing Based on Oral CT Image Filtering Algorithm,COMPUTATIONAL IN℡LIGENCE AND NEUROSCIENCE,journalArticle,J5XU7G3J,,EXCLUDE,EXCLUDE,"证据片段全部为参考文献列表条目（如 ""[8] W. Xie..."", ""[19] C. Tang...""），未出现任何表明本研究自身使用具名第三方非牙科3D软件的表述（如 ""we used / were analysed using / imported into / processed in""）。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段全部为参考文献列表条目（如 ""[8] W. Xie..."", ""[19] C. Tang...""），未出现任何表明本研究自身使用具名第三方非牙科3D软件的表述（如 ""we used / were analysed using / imported into / processed in""）。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
identifying lymph nodes and their statuses from pretreatment computer tomography images of patients with head and neck cancer using a clinical data driven deep learning algorithm,Identifying Lymph Nodes and Their Statuses from Pretreatment Computer Tomography Images of Patients with Head and Neck Cancer Using a Clinical-Data-Driven Deep Learning Algorithm,CANCERS,journalArticle,9H75HRKJ,,EXCLUDE,EXCLUDE,"该研究仅使用自研/自建深度学习模型（3D UNet、nnUNet、Pytorch），未在材料与方法中表明本研究自身使用了具名的第三方非牙科3D软件进行3D数据处理、分析、建模或测量；片段中出现的软件名（如 Pytorch）为深度学习框架，非3D数据处理软件，且无 ""we used / imported into / processed in"" 等表明使用第三方3D软件的表述。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 该研究仅使用自研/自建深度学习模型（3D UNet、nnUNet、Pytorch），未在材料与方法中表明本研究自身使用了具名的第三方非牙科3D软件进行3D数据处理、分析、建模或测量；片段中出现的软件名（如 Pytorch）为深度学习框架，非3D数据处理软件，且无 ""we used / imported into / processed in"" 等表明使用第三方3D软件的表述。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
assessment of temperature effects on photopolymer resin dental prosthetics fabricated by stereolithography using optical coherence tomography,Assessment of temperature effects on photopolymer resin dental prosthetics fabricated by stereolithography using optical coherence tomography,OPTICS AND LASER TECHNOLOGY,journalArticle,PCL6JTNN,,EXCLUDE,EXCLUDE,"证据片段中未出现任何表明本研究自身使用了具名第三方非牙科3D软件的表述；片段内容均为引言/文献回顾（如 ""Rungrojwittayakul et al. evaluated...""、""Huotilainen et al. evaluated...""），软件名（如 Model Builder、surface matching software）仅出现在他文引用与泛述中，无 ""we used / were analysed using / imported into / processed in"" 等本研究自用表述。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中未出现任何表明本研究自身使用了具名第三方非牙科3D软件的表述；片段内容均为引言/文献回顾（如 ""Rungrojwittayakul et al. evaluated...""、""Huotilainen et al. evaluated...""），软件名（如 Model Builder、surface matching software）仅出现在他文引用与泛述中，无 ""we used / were analysed using / imported into / processed in"" 等本研究自用表述。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
nanobiotechnological approaches for breast cancer management drug delivery systems and 3d in vitro models,Nanobiotechnological approaches for breast cancer Management: Drug delivery systems and 3D In-Vitro models,COORDINATION CHEMISTRY REVIEWS,journalArticle,ILRPW2I6,,EXCLUDE,EXCLUDE,"缺失证据：方法学片段中未出现任何表明本研究自身使用了具名第三方非牙科3D软件的表述（如 ""we used / were analysed using / imported into / processed in""），且片段内容为光热治疗机制的泛述，未涉及3D软件使用。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 缺失证据：方法学片段中未出现任何表明本研究自身使用了具名第三方非牙科3D软件的表述（如 ""we used / were analysed using / imported into / processed in""），且片段内容为光热治疗机制的泛述，未涉及3D软件使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
hierarchical chitin nanocrystal based 3d printed dual layer membranes hydrogels a dual drug delivery nano platform for periodontal tissue regeneration,Hierarchical Chitin Nanocrystal-Based 3D Printed Dual-Layer Membranes Hydrogels: A Dual Drug Delivery Nano-Platform for Periodontal Tissue Regeneration,ACS NANO,journalArticle,977YT8IH,,EXCLUDE,EXCLUDE,"片段中仅出现 ""CAD software"" 这一泛称，未指明任何具名第三方非牙科3D软件（如 SolidWorks、AutoCAD、Fusion 360 等）；ImageJ 虽为具名软件，但其原始开发领域为生物图像分析，且在本研究中用于二维图像分析（测量纳米晶体尺寸、打印结构面积），并非用于3D数据的处理、分析、建模或测量，不满足纳入标准第2条。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 片段中仅出现 ""CAD software"" 这一泛称，未指明任何具名第三方非牙科3D软件（如 SolidWorks、AutoCAD、Fusion 360 等）；ImageJ 虽为具名软件，但其原始开发领域为生物图像分析，且在本研究中用于二维图像分析（测量纳米晶体尺寸、打印结构面积），并非用于3D数据的处理、分析、建模或测量，不满足纳入标准第2条。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
a novel artificial intelligence based approach for quantitative assessment of angiogenesis in the ex ovo cam model,A Novel Artificial Intelligence-Based Approach for Quantitative Assessment of Angiogenesis in the Ex Ovo CAM Model,CANCERS,journalArticle,9RG8ZHBS,,EXCLUDE,EXCLUDE,该研究主题为鸡胚绒毛尿囊膜（CAM）模型的血管生成定量评估，属于肿瘤/血管生成研究，不属于口腔医学任一学科；且证据片段中出现的软件（ImageJ、ImageScope、AngioTool、IKOSA）均非牙科3D软件，亦无口腔医学应用场景。,-,-,-,-,"【判定】: EXCLUDE
【证据】: 该研究主题为鸡胚绒毛尿囊膜（CAM）模型的血管生成定量评估，属于肿瘤/血管生成研究，不属于口腔医学任一学科；且证据片段中出现的软件（ImageJ、ImageScope、AngioTool、IKOSA）均非牙科3D软件，亦无口腔医学应用场景。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
fully automated mandibular condyle segmentation more detailed extraction with hybrid customized sam,Fully Automated Mandibular Condyle Segmentation: More Detailed Extraction With Hybrid Customized SAM,INTERNATIONAL JOURNAL OF IMAGING SYSTEMS AND TECHNOLOGY,journalArticle,I7Y42AG2,,EXCLUDE,EXCLUDE,"证据片段仅显示该研究提出并使用了自研框架（adapting the ""Segmentation Anything Model"" (SAM) 并引入 dual-adapter system 与 boundary-optimized loss function），未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、ITK-SNAP、MATLAB 等）被本研究使用的表述（如 ""we used / were analysed using / imported into / processed in""）。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段仅显示该研究提出并使用了自研框架（adapting the ""Segmentation Anything Model"" (SAM) 并引入 dual-adapter system 与 boundary-optimized loss function），未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、ITK-SNAP、MATLAB 等）被本研究使用的表述（如 ""we used / were analysed using / imported into / processed in""）。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
cartilage repair unleashing prp s potential in organoid models,Cartilage repair: unleashing PRP's potential in organoid models,CYTOTECHNOLOGY,journalArticle,IE7RDNAX,,EXCLUDE,EXCLUDE,"证据片段中未出现任何表明本研究自身使用了具名第三方非牙科3D软件的表述（如 ""we used / were analysed using / imported into / processed in""）；片段内容为摘要性论述及参考文献列表，且摘要明确为 ""this review aims to...""，属综述类型。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中未出现任何表明本研究自身使用了具名第三方非牙科3D软件的表述（如 ""we used / were analysed using / imported into / processed in""）；片段内容为摘要性论述及参考文献列表，且摘要明确为 ""this review aims to...""，属综述类型。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
in vitro comparison of internal and marginal adaptation between printed and milled onlays,In Vitro Comparison of Internal and Marginal Adaptation between Printed and Milled Onlays,MATERIALS,journalArticle,NF7ZX4PJ,,EXCLUDE,EXCLUDE,"证据片段中仅出现 ""a specific software was used to measure the margin..."" 和 ""proprietary dental software (Exocad Galway...)""，未出现任何具名第三方非牙科3D软件名（如 Geomagic、GOM Inspect、CloudCompare 等）；Exocad 属牙科专用软件，不符合纳入标准第2条。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中仅出现 ""a specific software was used to measure the margin..."" 和 ""proprietary dental software (Exocad Galway...)""，未出现任何具名第三方非牙科3D软件名（如 Geomagic、GOM Inspect、CloudCompare 等）；Exocad 属牙科专用软件，不符合纳入标准第2条。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
the effect of functionally graded materials on bone remodeling around osseointegrated trans femoral prostheses,The effect of functionally graded materials on bone remodeling around osseointegrated trans-femoral prostheses,JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS,journalArticle,V4SM7JXW,,EXCLUDE,EXCLUDE,"主题为经股骨骨整合假体（trans-femoral prosthesis）的骨重塑有限元分析，属于骨科/生物力学领域，不属于口腔医学任一学科；缺失""主题属于口腔医学""这一证据。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 主题为经股骨骨整合假体（trans-femoral prosthesis）的骨重塑有限元分析，属于骨科/生物力学领域，不属于口腔医学任一学科；缺失""主题属于口腔医学""这一证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
assessment of all in focus image quality in shape from focus technique,Assessment of All-in-focus Image Quality in Shape-from-focus Technique,SENSORS AND MATERIALS,journalArticle,KS6SA2QE,,EXCLUDE,EXCLUDE,缺失证据：片段中仅出现 OpenCV library（AKAZE 算法），OpenCV 为计算机视觉库而非具名第三方非牙科三维（3D）软件，且未表明本研究使用 Mimics、3D Slicer、Geomagic、MATLAB 等具名非牙科3D软件进行3D数据处理、分析、建模或测量；SFF 为自研方法。,-,-,-,-,"【判定】: EXCLUDE
【证据】: 缺失证据：片段中仅出现 OpenCV library（AKAZE 算法），OpenCV 为计算机视觉库而非具名第三方非牙科三维（3D）软件，且未表明本研究使用 Mimics、3D Slicer、Geomagic、MATLAB 等具名非牙科3D软件进行3D数据处理、分析、建模或测量；SFF 为自研方法。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
digital application of three dimensional diagnosis and treatment with a virtual articulator,Digital application of three-dimensional diagnosis and treatment with a virtual articulator,JOURNAL OF ESTHETIC AND RESTORATIVE DENTISTRY,journalArticle,59C32I24,,EXCLUDE,EXCLUDE,"片段中出现的软件为 R2GATE（MegaGEN IMPLANT CO., Ltd.）及 Raydent splint design / Raydent studio（Ray），均属牙科专用软件；未出现任何具名的第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic、MATLAB 等）被本研究自身使用的表述。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 片段中出现的软件为 R2GATE（MegaGEN IMPLANT CO., Ltd.）及 Raydent splint design / Raydent studio（Ray），均属牙科专用软件；未出现任何具名的第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic、MATLAB 等）被本研究自身使用的表述。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
a novel artificial intelligence powered tool for automated root canal segmentation in single rooted teeth on cone beam computed tomography,A novel artificial intelligence-powered tool for automated root canal segmentation in single-rooted teeth on cone-beam computed tomography,INTERNATIONAL ENDODONTIC JOURNAL,journalArticle,MBMSHJXN,,EXCLUDE,EXCLUDE,"证据片段中仅提及 ""Virtual Patient Creator platform""（用于人工分割建立 ground truth），未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、ITK-SNAP、Geomagic、MATLAB 等）被本研究自身用于3D数据处理、分析、建模或测量的表述；该研究核心为自建 CNN 深度学习模型，缺乏使用具名第三方非牙科3D软件的证据。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中仅提及 ""Virtual Patient Creator platform""（用于人工分割建立 ground truth），未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、ITK-SNAP、Geomagic、MATLAB 等）被本研究自身用于3D数据处理、分析、建模或测量的表述；该研究核心为自建 CNN 深度学习模型，缺乏使用具名第三方非牙科3D软件的证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
biofabrication of an in vitro bone model for gaucher disease,Biofabrication of an in-vitro bone model for Gaucher disease,BIOFABRICATION,journalArticle,QHQCR9ID,,EXCLUDE,EXCLUDE,"缺失证据：方法学片段仅描述使用商业搅拌机（E8100, Waring Commercial）和离心等操作，未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、ANSYS、Geomagic 等）用于3D数据处理、分析、建模或测量的表述。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 缺失证据：方法学片段仅描述使用商业搅拌机（E8100, Waring Commercial）和离心等操作，未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、ANSYS、Geomagic 等）用于3D数据处理、分析、建模或测量的表述。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
fracture strength of different veneers on polyetheretherketone peek frameworks in implant supported single crowns,Fracture strength of different veneers on polyetheretherketone (PEEK) frameworks in implant-supported single crowns,AMERICAN JOURNAL OF DENTISTRY,journalArticle,R7TJEP7M,,EXCLUDE,EXCLUDE,"证据片段中仅出现 ""CAD-CAM system"" 这一泛称，未指明任何具名的第三方非牙科三维软件（如 Mimics、3D Slicer、Geomagic、SolidWorks 等），也无 ""we used / were analysed using / imported into / processed in"" 等表明本研究自身使用某具名软件的表述；所提及的均为牙科 CAD-CAM 材料与系统（如 IPS e.max CAD、Lava Ultimate 等）。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中仅出现 ""CAD-CAM system"" 这一泛称，未指明任何具名的第三方非牙科三维软件（如 Mimics、3D Slicer、Geomagic、SolidWorks 等），也无 ""we used / were analysed using / imported into / processed in"" 等表明本研究自身使用某具名软件的表述；所提及的均为牙科 CAD-CAM 材料与系统（如 IPS e.max CAD、Lava Ultimate 等）。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
deep reinforcement learning for efficient registration between intraoral scan meshes and ct images,Deep reinforcement learning for efficient registration between intraoral-scan meshes and CT images,PATTERN RECOGNITION,journalArticle,3RU3YSFY,,EXCLUDE,EXCLUDE,"证据片段中仅描述自研的深度强化学习框架（DRL、graph convolution-based backbone network）及采样方法，未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）被本研究使用的表述（如 ""we used / imported into / processed in""）。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中仅描述自研的深度强化学习框架（DRL、graph convolution-based backbone network）及采样方法，未出现任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、MATLAB 等）被本研究使用的表述（如 ""we used / imported into / processed in""）。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
the evolution of jaw kinematic analysis from early observations to latest technologies,The Evolution of Jaw Kinematic Analysis: From Early Observations to Latest Technologies,APPLIED SCIENCES-BASEL,journalArticle,FSAV72S8,,EXCLUDE,EXCLUDE,"该文献为综述（""This review aims to provide a historically structured overview of methods used in jaw kinematic analysis""），且证据片段中未出现任何表明本研究自身使用了具名第三方非牙科3D软件的表述（如 ""we used / were analysed using / imported into / processed in""），仅涉及历史方法与设备的泛述。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 该文献为综述（""This review aims to provide a historically structured overview of methods used in jaw kinematic analysis""），且证据片段中未出现任何表明本研究自身使用了具名第三方非牙科3D软件的表述（如 ""we used / were analysed using / imported into / processed in""），仅涉及历史方法与设备的泛述。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
clinical applications of polyetheretherketone in removable dental prostheses accuracy characteristics and performance,"Clinical Applications of Polyetheretherketone in Removable Dental Prostheses: Accuracy, Characteristics, and Performance",POLYMERS,journalArticle,SA5CK9Q5,,EXCLUDE,EXCLUDE,"缺失表明本研究自身使用了具名第三方非牙科3D软件的证据。片段中仅泛述 ""digital methods using 3D software"" 及引用他文（""in accordance with a laboratory study [15]... 3D digital software was used""），未出现任何具名第三方3D软件名，也无 ""we used / imported into / processed in"" 等本研究自用表述。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 缺失表明本研究自身使用了具名第三方非牙科3D软件的证据。片段中仅泛述 ""digital methods using 3D software"" 及引用他文（""in accordance with a laboratory study [15]... 3D digital software was used""），未出现任何具名第三方3D软件名，也无 ""we used / imported into / processed in"" 等本研究自用表述。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
development and optimization of 3d printed orally dissolving films of vitamin d3 using a quality by design approach,Development and Optimization of 3D-Printed Orally Dissolving Films of Vitamin D3 Using a Quality by Design Approach,JOURNAL OF PHARMACEUTICAL INNOVATION,journalArticle,JG3WXI76,,EXCLUDE,EXCLUDE,该研究使用 Cellink Inkredible+ 生物打印机（牙科/制药专用3D打印设备）及 Design Expert®（统计优化软件，非3D数据处理软件）；证据片段中未出现任何本研究自身使用具名第三方非牙科三维（3D）软件（如 Mimics、3D Slicer、Geomagic、MATLAB 等）进行3D数据处理、分析、建模或测量的表述。CAD 仅作为模板设计泛述，未指明具体具名非牙科3D软件。,-,-,-,-,"【判定】: EXCLUDE
【证据】: 该研究使用 Cellink Inkredible+ 生物打印机（牙科/制药专用3D打印设备）及 Design Expert®（统计优化软件，非3D数据处理软件）；证据片段中未出现任何本研究自身使用具名第三方非牙科三维（3D）软件（如 Mimics、3D Slicer、Geomagic、MATLAB 等）进行3D数据处理、分析、建模或测量的表述。CAD 仅作为模板设计泛述，未指明具体具名非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
