_nt,Title,期刊,Item Type,原流程原因,判定,判定理由,专科,应用场景,软件,研究设计,原始返回
mrcm uctransnet automatic and accurate 3d tooth segmentation network from cone beam ct images,MRCM-UCTransNet: Automatic and Accurate 3D Tooth Segmentation Network From Cone-Beam CT Images,INTERNATIONAL JOURNAL OF IMAGING SYSTEMS AND TECHNOLOGY,journalArticle,No non-dental 3D software identified,EXCLUDE,Mimics 仅作为对比基线（built-in segmentation algorithm in Mimics）出现，该研究自身方法为 MRCM-UCTransNet 深度学习网络，未使用非牙科3D软件处理数据。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: Mimics 仅作为对比基线（built-in segmentation algorithm in Mimics）出现，该研究自身方法为 MRCM-UCTransNet 深度学习网络，未使用非牙科3D软件处理数据。
【专科】: -
【应用场景】: -
【软件】: -
【研究设计】: -"
accuracy of guided implant surgery obtained using 3d printed surgical guides an in vitro comparison of four evaluation methods,Accuracy of guided implant surgery obtained using 3D-printed surgical guides - An in vitro comparison of four evaluation methods,INTERNATIONAL JOURNAL OF COMPUTERIZED DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,"该研究自身在方法中使用 GOM Inspect Suite 2020 进行扫描数据导入、配准、合并及偏差测量（""These surface scans were imported into 3D analysis software (GOM Inspect Suite 2020; GOM) and merged...""）。",Implantology,3D data analysis and accuracy assessment,GOM Inspect,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 GOM Inspect Suite 2020 进行扫描数据导入、配准、合并及偏差测量（""These surface scans were imported into 3D analysis software (GOM Inspect Suite 2020; GOM) and merged...""）。
【专科】: Implantology
【应用场景】: 3D data analysis and accuracy assessment
【软件】: GOM Inspect
【研究设计】: in_vitro"
effect of attachment flash on clear aligner force delivery an in vitro study,Effect of attachment flash on clear aligner force delivery: an in vitro study,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中明确使用 Autodesk Meshmixer 3.5 编辑修改后的 STL 模型，属于研究自身使用非牙科专用3D软件处理3D数据。,Orthodontics,Digital design and manufacturing,Autodesk Meshmixer,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究在方法中明确使用 Autodesk Meshmixer 3.5 编辑修改后的 STL 模型，属于研究自身使用非牙科专用3D软件处理3D数据。
【专科】: Orthodontics
【应用场景】: Digital design and manufacturing
【软件】: Autodesk Meshmixer
【研究设计】: in_vitro"
a customised 3d u net model for bifid mandibular canal segmentation and detection on cbct a diagnostic accuracy study,A customised 3D U-Net model for bifid mandibular canal segmentation and detection on CBCT: a diagnostic accuracy study,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,INCLUDE,全文方法部分明确说明使用 3D Slicer (version 5.8) 进行手动体素级分割以生成 ground truth 标注。,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,3D Slicer,computational,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明使用 3D Slicer (version 5.8) 进行手动体素级分割以生成 ground truth 标注。
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【软件】: 3D Slicer
【研究设计】: computational"
a tmps designed personalized mandibular scaffolds with optimized sla parameters and mechanical properties,A TMPS-designed personalized mandibular scaffolds with optimized SLA parameters and mechanical properties,FRONTIERS IN MATERIALS,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明该研究自己使用 Mimics 19.0 对下颌 DICOM 数据进行阈值分割和三维重建，并使用 Magics 26.0 生成支撑结构。,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,Mimics; Magics,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自己使用 Mimics 19.0 对下颌 DICOM 数据进行阈值分割和三维重建，并使用 Magics 26.0 生成支撑结构。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【软件】: Mimics; Magics
【研究设计】: computational"
biomechanical analysis of all on 4 implant supported framework using different materials across various clinical practice,Biomechanical analysis of All-on-4 implant supported framework using different materials across various clinical practice,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确说明该研究自己使用 Mimics 将 CT 数据转为 STL、用 Geomagic Studio 逆向建模、用 SolidWorks 创建框架模型。,Implantology,Biomechanical analysis and simulation,Mimics; Geomagic Studio; SolidWorks,computational,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明该研究自己使用 Mimics 将 CT 数据转为 STL、用 Geomagic Studio 逆向建模、用 SolidWorks 创建框架模型。
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【软件】: Mimics; Geomagic Studio; SolidWorks
【研究设计】: computational"
accuracy of dicom dicom vs dicom stl protocols in computer guided surgery a human clinical study,Accuracy of DICOM-DICOM vs. DICOM-STL Protocols in Computer-Guided Surgery: A Human Clinical Study,JOURNAL OF CLINICAL MEDICINE,journalArticle,No non-dental 3D software identified,INCLUDE,全文方法部分明确说明使用 Geomagic 软件的最佳拟合算法对 STL 数据进行配准并测量种植体位置偏差。,Implantology,3D data analysis and accuracy assessment,Geomagic,clinical,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明使用 Geomagic 软件的最佳拟合算法对 STL 数据进行配准并测量种植体位置偏差。
【专科】: Implantology
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic
【研究设计】: clinical"
evaluation of the retentive forces from removable partial denture clasps manufactured by the digital method,Evaluation of the Retentive Forces from Removable Partial Denture Clasps Manufactured by the Digital Method,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,INCLUDE,"全文明确说明研究自身在方法中使用 Autodesk Meshmixer 设计 3D 打印树脂块（""In the Autodesk Meshmixer program... a 3D-printed resin block... was designed""）。",Prosthodontics,Digital design and manufacturing,Autodesk Meshmixer,in_vitro,"【判定】: INCLUDE
【判定理由】: 全文明确说明研究自身在方法中使用 Autodesk Meshmixer 设计 3D 打印树脂块（""In the Autodesk Meshmixer program... a 3D-printed resin block... was designed""）。
【专科】: Prosthodontics
【应用场景】: Digital design and manufacturing
【软件】: Autodesk Meshmixer
【研究设计】: in_vitro"
patient specific virtual surgical planning for tongue reconstruction evaluating hyperelastic inverse fem with four simulated tongue cancer cases,Patient-specific virtual surgical planning for tongue reconstruction: evaluating hyperelastic inverse FEM with four simulated tongue cancer cases,PHYSICS IN MEDICINE AND BIOLOGY,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中明确使用 Mimics Medical 17.0 进行图像分割生成舌3D模型，并使用 MeshMixer 对切除面进行三角网格离散化。,Oral and Maxillofacial Surgery,Surgical planning and precise implementation,Mimics; MeshMixer,computational,"【判定】: INCLUDE
【判定理由】: 该研究在方法中明确使用 Mimics Medical 17.0 进行图像分割生成舌3D模型，并使用 MeshMixer 对切除面进行三角网格离散化。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Surgical planning and precise implementation
【软件】: Mimics; MeshMixer
【研究设计】: computational"
precise sparse view dental crown reconstruction via 3d gaussian neural fields,Precise sparse-view dental crown reconstruction via 3D Gaussian neural fields,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,journalArticle,No non-dental 3D software identified,INCLUDE,"全文明确说明 ""We used Cloudcompare software to manually extract the crown area of the scanned 3D model""，即研究自身在方法中使用 CloudCompare 处理3D数据。",Orthodontics,Image segmentation and 3D reconstruction,CloudCompare,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明 ""We used Cloudcompare software to manually extract the crown area of the scanned 3D model""，即研究自身在方法中使用 CloudCompare 处理3D数据。
【专科】: Orthodontics
【应用场景】: Image segmentation and 3D reconstruction
【软件】: CloudCompare
【研究设计】: computational"
efficacy of submucosal polydeoxyribonucleotide injection after impacted mandibular third molar extraction a randomized controlled trial,Efficacy of Submucosal Polydeoxyribonucleotide Injection after Impacted Mandibular Third Molar Extraction: A Randomized Controlled Trial,YONSEI MEDICAL JOURNAL,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明将STL文件导入 Materialise MIMICS 21.0 和 Materialise 3-matic 18.0 进行面部扫描叠加与体积差异量化分析。,Oral and Maxillofacial Surgery,3D data analysis and accuracy assessment,Materialise Mimics; Materialise 3-matic,clinical,"【判定】: INCLUDE
【判定理由】: 全文明确说明将STL文件导入 Materialise MIMICS 21.0 和 Materialise 3-matic 18.0 进行面部扫描叠加与体积差异量化分析。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Materialise Mimics; Materialise 3-matic
【研究设计】: clinical"
computer aided orthognathic surgery a general method for designing and manufacturing personalized cutting repositioning templates,Computer Aided Orthognathic Surgery: A General Method for Designing and Manufacturing Personalized Cutting/Repositioning Templates,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,INCLUDE,"全文明确说明将CT的DICOM图像导入开源软件3D Slicer并用于完成分割（""imported in the open-source software 3D Slicer ... and used to realize the segmentation""），属该研究自身方法中使用非牙科专用3D软件。",Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,3D Slicer,clinical,"【判定】: INCLUDE
【判定理由】: 全文明确说明将CT的DICOM图像导入开源软件3D Slicer并用于完成分割（""imported in the open-source software 3D Slicer ... and used to realize the segmentation""），属该研究自身方法中使用非牙科专用3D软件。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【软件】: 3D Slicer
【研究设计】: clinical"
traditional 2d and 3d workflows what is better for aesthetic rehabilitation of superior anterior teeth,"Traditional, 2D and 3D Workflows: What Is Better for Aesthetic Rehabilitation of Superior Anterior Teeth?",APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明该研究自己使用 Blender 软件（version 2.90）对数字化模型进行3D数字蜡型设计。,Prosthodontics,Digital design and manufacturing,Blender,clinical,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自己使用 Blender 软件（version 2.90）对数字化模型进行3D数字蜡型设计。
【专科】: Prosthodontics
【应用场景】: Digital design and manufacturing
【软件】: Blender
【研究设计】: clinical"
tissue surface adaptation and retention of digital obturator after one year of use,Tissue surface adaptation and retention of digital obturator after one year of use,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,INCLUDE,作者在方法中明确使用 Geomagic Control X 2018 对参考模型与阻塞器贴合面 STL 进行配准和 3D 比较以评估组织面适应性。,Prosthodontics,3D data analysis and accuracy assessment,Geomagic Control X,in_vitro,"【判定】: INCLUDE
【判定理由】: 作者在方法中明确使用 Geomagic Control X 2018 对参考模型与阻塞器贴合面 STL 进行配准和 3D 比较以评估组织面适应性。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Control X
【研究设计】: in_vitro"
dynamic navigation for prosthetically driven zygomatic implant placement in extensive maxillary defects results of a prospective case series,Dynamic navigation for prosthetically driven zygomatic implant placement in extensive maxillary defects: Results of a prospective case series,CLINICAL IMPLANT DENTISTRY AND RELATED RESEARCH,journalArticle,No non-dental 3D software identified,INCLUDE,"全文明确说明将STL数据导入商用导航系统规划软件（iPlan Navigator, BrainLAB）用于颧种植体手术规划，属于研究自身方法中使用非牙科专用3D软件。",Oral and Maxillofacial Surgery,Surgical planning and precise implementation,iPlan Navigator,clinical,"【判定】: INCLUDE
【判定理由】: 全文明确说明将STL数据导入商用导航系统规划软件（iPlan Navigator, BrainLAB）用于颧种植体手术规划，属于研究自身方法中使用非牙科专用3D软件。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Surgical planning and precise implementation
【软件】: iPlan Navigator
【研究设计】: clinical"
an innovative tooth on chip microfluidic device emulating the structure and physiology of the dental pulp tissue,An Innovative “Tooth-On-Chip” Microfluidic Device Emulating the Structure and Physiology of the Dental Pulp Tissue,ADVANCED HEALTHCARE MATERIALS,journalArticle,No non-dental 3D software identified,INCLUDE,全文实验部分明确说明该研究自己使用 AutoCAD 绘制芯片布局，并用 COMSOL Multiphysics 进行传质计算模拟。,Endodontics,Biomechanical analysis and simulation,AutoCAD; COMSOL Multiphysics,computational,"【判定】: INCLUDE
【判定理由】: 全文实验部分明确说明该研究自己使用 AutoCAD 绘制芯片布局，并用 COMSOL Multiphysics 进行传质计算模拟。
【专科】: Endodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: AutoCAD; COMSOL Multiphysics
【研究设计】: computational"
trueness of the apical and middle root portion segments of 3d printed removable die and alveolar cast designs manufactured using stereolithographic 3d printing,Trueness of the apical and middle root portion segments of 3D-printed removable die and alveolar cast designs manufactured using stereolithographic 3D printing,JOURNAL OF PROSTHODONTICS-IMPLANT ESTHETIC AND RECONSTRUCTIVE DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中使用非牙科专用3D计量软件 Geomagic Control X 对3D打印代型和牙槽铸型的扫描文件进行对齐、分割与偏差比较（RMS计算）。,Prosthodontics,3D data analysis and accuracy assessment,Geomagic Control X,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究在方法中使用非牙科专用3D计量软件 Geomagic Control X 对3D打印代型和牙槽铸型的扫描文件进行对齐、分割与偏差比较（RMS计算）。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Control X
【研究设计】: in_vitro"
effect of implant number attachment type and framework material on stress distribution in mandibular overdentures a finite element analysis,"Effect of implant number, attachment type, and framework material on stress distribution in mandibular overdentures: a finite element analysis",BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确说明将DICOM数据导入3D Slicer进行分割，并将STL模型导入ANSYS SpaceClaim进行几何处理，属研究自身使用非牙科专用3D软件。,Prosthodontics,Biomechanical analysis and simulation,3D Slicer; ANSYS SpaceClaim,computational,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明将DICOM数据导入3D Slicer进行分割，并将STL模型导入ANSYS SpaceClaim进行几何处理，属研究自身使用非牙科专用3D软件。
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: 3D Slicer; ANSYS SpaceClaim
【研究设计】: computational"
the link between abutment configuration and marginal bone loss in subcrestally placed posterior implant supported restorations,The link between abutment configuration and marginal bone loss in subcrestally placed posterior implant-supported restorations,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中使用非牙科专用3D软件 AutoCAD 2024 进行影像测量以评估边缘骨水平。,Implantology,3D data analysis and accuracy assessment,AutoCAD,clinical,"【判定】: INCLUDE
【判定理由】: 该研究在方法中使用非牙科专用3D软件 AutoCAD 2024 进行影像测量以评估边缘骨水平。
【专科】: Implantology
【应用场景】: 3D data analysis and accuracy assessment
【软件】: AutoCAD
【研究设计】: clinical"
automatic landmark identification for surgical 3d navigation a proposed method for marker free dental surgical navigation systems,Automatic landmark identification for surgical 3d-navigation - A proposed method for marker-free dental surgical navigation systems,BIOMEDICAL ENGINEERING-BIOMEDIZINISCHE TECHNIK,journalArticle,No non-dental 3D software identified,INCLUDE,摘要明确说明所提方法在 MATLAB 中实现并用于立体图像的三维点重建与相机位姿计算。,Oral and Maxillofacial Surgery,Surgical planning and precise implementation,MATLAB,computational,"【判定】: INCLUDE
【判定理由】: 摘要明确说明所提方法在 MATLAB 中实现并用于立体图像的三维点重建与相机位姿计算。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Surgical planning and precise implementation
【软件】: MATLAB
【研究设计】: computational"
clinical efficacy of maxillary digital removable partial dentures based on direct intraoral scanning and selective laser melting technology a double blind randomized controlled crossover clinical trial,Clinical efficacy of maxillary digital removable partial dentures based on direct intraoral scanning and selective laser melting technology: a double-blind randomized controlled crossover clinical trial,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,全文方法部分明确说明使用 Geomagic Studio 2014 进行配准和偏差值计算以评估义齿适配性。,Prosthodontics,3D data analysis and accuracy assessment,Geomagic Studio,clinical,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明使用 Geomagic Studio 2014 进行配准和偏差值计算以评估义齿适配性。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Studio
【研究设计】: clinical"
biomechanical evaluation of prosthetic framework materials in subperiosteal implants a finite element analysis,Biomechanical evaluation of prosthetic framework materials in subperiosteal implants: a finite element analysis,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,INCLUDE,方法中明确使用 Mimics Innovation Suite 24.0 将 CBCT 转为 STL，并用 SolidWorks 进行建模与接触定义。,Prosthodontics,Biomechanical analysis and simulation,Mimics; SolidWorks,computational,"【判定】: INCLUDE
【判定理由】: 方法中明确使用 Mimics Innovation Suite 24.0 将 CBCT 转为 STL，并用 SolidWorks 进行建模与接触定义。
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: Mimics; SolidWorks
【研究设计】: computational"
digital assessment of the accuracy of implant impression techniques in free end saddle partially edentulous patients a controlled clinical trial,Digital assessment of the accuracy of implant impression techniques in free end saddle partially edentulous patients. A controlled clinical trial,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明使用非牙科专用3D检测计量软件 Geomagic Control X 进行模型分割、最佳拟合对齐及精度比较。,Implantology,3D data analysis and accuracy assessment,Geomagic Control X,clinical,"【判定】: INCLUDE
【判定理由】: 全文明确说明使用非牙科专用3D检测计量软件 Geomagic Control X 进行模型分割、最佳拟合对齐及精度比较。
【专科】: Implantology
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Control X
【研究设计】: clinical"
biomechanics of the tooth cervical region investigated using 3d digital image correlation micro ct and finite element analysis,"Biomechanics of the tooth cervical region investigated using 3D digital image correlation, micro CT, and finite element analysis",SCIENTIFIC REPORTS,journalArticle,No non-dental 3D software identified,INCLUDE,该研究自身在方法中使用 Amira 软件进行 micro-CT 数据的3D可视化与配准，并用 Blender 渲染实验装置示意图，属非牙科专用3D软件。,Restorative Dentistry,Biomechanical analysis and simulation,Amira; Blender,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 Amira 软件进行 micro-CT 数据的3D可视化与配准，并用 Blender 渲染实验装置示意图，属非牙科专用3D软件。
【专科】: Restorative Dentistry
【应用场景】: Biomechanical analysis and simulation
【软件】: Amira; Blender
【研究设计】: in_vitro"
zirconia endocrown with intracanal extension and zi posts on maxillary molars in silico study,Zirconia endocrown with intracanal extension and zi posts on maxillary molars: in silico study,QUINTESSENCE INTERNATIONAL,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明该研究自身使用建模软件 Rhinoceros 4.0 及分析程序 VRMesh Studio、Algor Fempro 来构建模型并进行有限元应力分析。,Prosthodontics,Biomechanical analysis and simulation,Rhinoceros; VRMesh Studio; Algor Fempro,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自身使用建模软件 Rhinoceros 4.0 及分析程序 VRMesh Studio、Algor Fempro 来构建模型并进行有限元应力分析。
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: Rhinoceros; VRMesh Studio; Algor Fempro
【研究设计】: computational"
an application framework of 3d assessment image registration accuracy and untouched surface area in canal instrumentation laboratory research with micro computed tomography,An application framework of 3D assessment image registration accuracy and untouched surface area in canal instrumentation laboratory research with micro-computed tomography,CLINICAL ORAL INVESTIGATIONS,journalArticle,No non-dental 3D software identified,INCLUDE,该研究自行创建了基于 MeVisLab 的定制框架，用于配准精度评估和未触及表面积测量，属自身方法中使用非牙科专用3D软件。,Endodontics,3D data analysis and accuracy assessment,MeVisLab,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自行创建了基于 MeVisLab 的定制框架，用于配准精度评估和未触及表面积测量，属自身方法中使用非牙科专用3D软件。
【专科】: Endodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: MeVisLab
【研究设计】: in_vitro"
biomechanical analysis of different pacifiers and their effects on the upper jaw and tongue,Biomechanical Analysis of Different Pacifiers and Their Effects on the Upper Jaw and Tongue,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明该研究自己使用 SOLIDWORKS 2014 构建安抚奶嘴、腭和舌的3D模型，并导入 NEiFusion-NEiNastran 进行有限元分析。,Pediatric Dentistry,Biomechanical analysis and simulation,SolidWorks; NEiFusion-NEiNastran,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自己使用 SOLIDWORKS 2014 构建安抚奶嘴、腭和舌的3D模型，并导入 NEiFusion-NEiNastran 进行有限元分析。
【专科】: Pediatric Dentistry
【应用场景】: Biomechanical analysis and simulation
【软件】: SolidWorks; NEiFusion-NEiNastran
【研究设计】: computational"
complete 3d kinematics parameters of the temporo mandibular joints using in vivo data fusion,Complete 3D Kinematics Parameters of the Temporo-Mandibular Joints Using in Vivo Data Fusion,IRBM,journalArticle,No non-dental 3D software identified,INCLUDE,"全文明确说明""3D bone models were reconstructed in Amira 4.0""，即该研究自身在方法中使用非牙科专用3D软件Amira进行三维骨模型重建。",Temporomandibular Joint Disorders,Image segmentation and 3D reconstruction,Amira,clinical,"【判定】: INCLUDE
【判定理由】: 全文明确说明""3D bone models were reconstructed in Amira 4.0""，即该研究自身在方法中使用非牙科专用3D软件Amira进行三维骨模型重建。
【专科】: Temporomandibular Joint Disorders
【应用场景】: Image segmentation and 3D reconstruction
【软件】: Amira
【研究设计】: clinical"
automatic prediction of depth of invasion in oral tongue squamous cell carcinoma using a multimodal regression network fusing prior text and anatomical knowledge,Automatic prediction of depth of invasion in oral tongue squamous cell carcinoma using a multimodal regression network fusing prior text and anatomical knowledge,MEDICAL IMAGE ANALYSIS,journalArticle,No non-dental 3D software identified,INCLUDE,摘要明确该研究使用 3D nnUNet 进行 OTSCC 自动分割，全文片段显示研究者使用 ITK-SNAP 4.2.0 在 MRI 上手动标注分割和 landmark 金标准，属于自身方法中使用的非牙科专用3D软件。,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,ITK-SNAP; 3D nnUNet,computational,"【判定】: INCLUDE
【判定理由】: 摘要明确该研究使用 3D nnUNet 进行 OTSCC 自动分割，全文片段显示研究者使用 ITK-SNAP 4.2.0 在 MRI 上手动标注分割和 landmark 金标准，属于自身方法中使用的非牙科专用3D软件。
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【软件】: ITK-SNAP; 3D nnUNet
【研究设计】: computational"
dentalarch ai based arch shape detection in orthodontics,DentalArch: AI-Based Arch Shape Detection in Orthodontics,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,INCLUDE,"研究自身使用 MeshLab 的 measuring tool 对 18 个参数进行手动测量（""the 'measuring tool' feature of MeshLab was utilized to conduct manual assessments of 18 parameters on dental models""）。",Orthodontics,3D data analysis and accuracy assessment,MeshLab,computational,"【判定】: INCLUDE
【判定理由】: 研究自身使用 MeshLab 的 measuring tool 对 18 个参数进行手动测量（""the 'measuring tool' feature of MeshLab was utilized to conduct manual assessments of 18 parameters on dental models""）。
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: MeshLab
【研究设计】: computational"
protease responsive protein hydrogel enabling spatiotemporal clo2 release for precision treatment of intracellular infections and periodontitis,Protease-responsive protein hydrogel enabling spatiotemporal ClO2 release for precision treatment of intracellular infections and periodontitis,MATERIALS & DESIGN,journalArticle,No non-dental 3D software identified,INCLUDE,全文方法部分明确说明该研究自己使用 Mimics Medical 21.0 软件对 micro-CT 样本进行三维重建并测量牙槽骨缺损。,Periodontology,Image segmentation and 3D reconstruction,Mimics,in_vitro,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明该研究自己使用 Mimics Medical 21.0 软件对 micro-CT 样本进行三维重建并测量牙槽骨缺损。
【专科】: Periodontology
【应用场景】: Image segmentation and 3D reconstruction
【软件】: Mimics
【研究设计】: in_vitro"
a low cost wireless bite force measurement device,A Low-Cost Wireless Bite Force Measurement Device,MATERIALS,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明该研究自己使用商业CAD软件AutoCAD设计定制咬合叉接口，并用3D打印制作。,Prosthodontics,Digital design and manufacturing,AutoCAD,technical_note,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自己使用商业CAD软件AutoCAD设计定制咬合叉接口，并用3D打印制作。
【专科】: Prosthodontics
【应用场景】: Digital design and manufacturing
【软件】: AutoCAD
【研究设计】: technical_note"
3d printed indirect bonding trays transfer accuracy of bar vs shell design in a prospective randomized clinical trial,"3D printed indirect bonding trays: transfer accuracy of bar vs shell design in a prospective, randomized clinical trial",ANGLE ORTHODONTIST,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中明确使用 GOM Inspect 开源软件对 IDB 前后的 STL 模型进行叠加、建立局部坐标系并测量线距/角度差异。,Orthodontics,3D data analysis and accuracy assessment,GOM Inspect,clinical,"【判定】: INCLUDE
【判定理由】: 该研究在方法中明确使用 GOM Inspect 开源软件对 IDB 前后的 STL 模型进行叠加、建立局部坐标系并测量线距/角度差异。
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: GOM Inspect
【研究设计】: clinical"
influence of planning software and template design on the accuracy of static computer assisted implant surgery performed using guides fabricated with material extrusion technology an in vitro study,Influence of planning software and template design on the accuracy of static computer assisted implant surgery performed using guides fabricated with material extrusion technology: An in vitro study,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,该体外研究在方法中明确使用开源设计软件 Meshmixer 将套筒数字化整合入手术导板，并使用 Geomagic Control X 进行偏差测量验证。,Implantology,Digital design and manufacturing,Meshmixer; Geomagic Control X,in_vitro,"【判定】: INCLUDE
【判定理由】: 该体外研究在方法中明确使用开源设计软件 Meshmixer 将套筒数字化整合入手术导板，并使用 Geomagic Control X 进行偏差测量验证。
【专科】: Implantology
【应用场景】: Digital design and manufacturing
【软件】: Meshmixer; Geomagic Control X
【研究设计】: in_vitro"
is all on four effective in case of partial mandibular resection a 3d finite element study,Is All-on-four effective in case of partial mandibular resection? A 3D finite element study,JOURNAL OF STOMATOLOGY ORAL AND MAXILLOFACIAL SURGERY,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确说明使用 Mimics version 10.01 处理CT数据生成3D掩膜，并用 SolidWorks version 2020 平滑下颌骨表面，随后导入 ANSYS v11 进行有限元分析。,Oral and Maxillofacial Surgery,Biomechanical analysis and simulation,Mimics; SolidWorks; ANSYS,computational,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明使用 Mimics version 10.01 处理CT数据生成3D掩膜，并用 SolidWorks version 2020 平滑下颌骨表面，随后导入 ANSYS v11 进行有限元分析。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Biomechanical analysis and simulation
【软件】: Mimics; SolidWorks; ANSYS
【研究设计】: computational"
microstructural heterogeneity of the collagenous network in the loaded and unloaded periodontal ligament and its biomechanical implications,Microstructural heterogeneity of the collagenous network in the loaded and unloaded periodontal ligament and its biomechanical implications,JOURNAL OF STRUCTURAL BIOLOGY,journalArticle,No non-dental 3D software identified,INCLUDE,全文方法部分明确说明微CT数据导入ScanIP进行分割，并导入自建MATLAB程序进行纤维分析，属于研究自身使用非牙科专用3D软件处理3D数据。,Periodontology,Image segmentation and 3D reconstruction,ScanIP; MATLAB,in_vitro,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明微CT数据导入ScanIP进行分割，并导入自建MATLAB程序进行纤维分析，属于研究自身使用非牙科专用3D软件处理3D数据。
【专科】: Periodontology
【应用场景】: Image segmentation and 3D reconstruction
【软件】: ScanIP; MATLAB
【研究设计】: in_vitro"
