_nt,Title,期刊,Item Type,Key,PDF,判定,判定理由,软件,专科,应用场景,研究设计,原始返回
a 3d co culture system inspired by fracture healing cell interactions for bone tissue engineering,A 3D Co-Culture System Inspired by Fracture Healing Cell Interactions for Bone Tissue Engineering,ADVANCED HEALTHCARE MATERIALS,journalArticle,B7TAIWTK,Wu 等 - 2025 - A 3D Co‐Culture System Inspired by Fracture Healing Cell Interactions for Bone Tissue Engineering.pdf,EXCLUDE,"该研究主题为骨组织工程（骨折愈合细胞相互作用），不属于口腔医学任一学科；虽然证据片段显示使用了""Materialise Magics software 24.0""和""ImageJ software""，但主题不符合纳入标准第1条。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究主题为骨组织工程（骨折愈合细胞相互作用），不属于口腔医学任一学科；虽然证据片段显示使用了""Materialise Magics software 24.0""和""ImageJ software""，但主题不符合纳入标准第1条。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
traditional 2d and 3d workflows what is better for aesthetic rehabilitation of superior anterior teeth,"Traditional, 2D and 3D Workflows: What Is Better for Aesthetic Rehabilitation of Superior Anterior Teeth?",APPLIED SCIENCES-BASEL,journalArticle,WJH5GAGS,"Zotti 等 - 2023 - Traditional, 2D and 3D Workflows What Is Better for Aesthetic Rehabilitation of Superior Anterior T.pdf",EXCLUDE,"该研究仅使用 Keynote（Apple Inc.）进行 2D 美学分析与微笑设计，证据片段中""Keynote software (version 11.1) was used to perform digital aesthetic analysis and smile planning""，Keynote 并非三维（3D）软件，且未使用任何具名的第三方非牙科3D软件进行3D数据处理。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究仅使用 Keynote（Apple Inc.）进行 2D 美学分析与微笑设计，证据片段中""Keynote software (version 11.1) was used to perform digital aesthetic analysis and smile planning""，Keynote 并非三维（3D）软件，且未使用任何具名的第三方非牙科3D软件进行3D数据处理。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
self organized vascularized microtissue based on the human microvascular unit for tissue repair and regeneration,Self-Organized Vascularized Microtissue Based on the Human Microvascular Unit for Tissue Repair and Regeneration,ACS APPLIED MATERIALS & INTERFACES,journalArticle,GPMMUGAQ,Gao 等 - 2025 - Self-Organized Vascularized Microtissue Based on the Human Microvascular Unit for Tissue Repair and.pdf,EXCLUDE,该研究主题为血管化微组织用于组织修复与再生，不属于口腔医学任一学科；且证据中出现的 CTVox、CTAn、GraphPad Prism 均非口腔医学3D数据处理软件，其中 GraphPad Prism 仅用于统计分析。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究主题为血管化微组织用于组织修复与再生，不属于口腔医学任一学科；且证据中出现的 CTVox、CTAn、GraphPad Prism 均非口腔医学3D数据处理软件，其中 GraphPad Prism 仅用于统计分析。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
development of a statistical shape model and assessment of anatomical shape variations in the hemipelvis,Development of a Statistical Shape Model and Assessment of Anatomical Shape Variations in the Hemipelvis,JOURNAL OF CLINICAL MEDICINE,journalArticle,GT3HSR5N,van Veldhuizen 等 - 2023 - Development of a Statistical Shape Model and Assessment of Anatomical Shape Variations in the Hemipe.pdf,EXCLUDE,"该研究主题为骨盆（hemipelvis）形态的统计形状模型，属于骨科/骨盆外科领域，而非口腔医学任一学科；证据片段中仅提及""CT scans of 200 patients...were used to obtain segmentations""及自研的迭代最近点算法与主成分分析，未涉及口腔医学应用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究主题为骨盆（hemipelvis）形态的统计形状模型，属于骨科/骨盆外科领域，而非口腔医学任一学科；证据片段中仅提及""CT scans of 200 patients...were used to obtain segmentations""及自研的迭代最近点算法与主成分分析，未涉及口腔医学应用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
metal organic framework incorporated three dimensional 3d bio printable hydrogels to facilitate bone repair preparation and in vitro bioactivity analysis,Metal Organic Framework-Incorporated Three-Dimensional (3D) Bio-Printable Hydrogels to Facilitate Bone Repair: Preparation and In Vitro Bioactivity Analysis,GELS,journalArticle,JSU2KA77,Choi 等 - 2023 - Metal Organic Framework-Incorporated Three-Dimensional (3D) Bio-Printable Hydrogels to Facilitate Bo.pdf,INCLUDE,该研究自身在材料与方法中使用具名第三方非牙科3D软件 OnShape 进行建模，证据原文为“The models for bio-printing were designed using an online computer-aided design (CAD) software called Onshape”。,OnShape,Oral and Maxillofacial Surgery,Digital design and manufacturing,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用具名第三方非牙科3D软件 OnShape 进行建模，证据原文为“The models for bio-printing were designed using an online computer-aided design (CAD) software called Onshape”。
【软件】: OnShape
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Digital design and manufacturing
【研究设计】: in_vitro"
ginger extract release from 3d printed calcium phosphate scaffolds for bone regeneration,Ginger extract release from 3D printed calcium phosphate scaffolds for bone regeneration,BIOMATERIALS ADVANCES,journalArticle,FEHPJQNB,Bose 等 - 2026 - Ginger extract release from 3D printed calcium phosphate scaffolds for bone regeneration.pdf,EXCLUDE,"证据片段中唯一具名的软件是 ""ImageJ software""，用于 ""RGB analysis and area measurement""，但 ImageJ 属于图像分析软件而非三维（3D）软件，且未用于3D数据的处理、分析、建模或测量；GraphPad Prism 亦非3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中唯一具名的软件是 ""ImageJ software""，用于 ""RGB analysis and area measurement""，但 ImageJ 属于图像分析软件而非三维（3D）软件，且未用于3D数据的处理、分析、建模或测量；GraphPad Prism 亦非3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
deep absolute phase recovery from single frequency phase map for handheld 3d measurement,Deep absolute phase recovery from single- frequency phase map for handheld 3D measurement,OPTICS COMMUNICATIONS,journalArticle,3BAYRGI4,Bai 等 - 2022 - Deep absolute phase recovery from single- frequency phase map for handheld 3D measurement.pdf,EXCLUDE,"该研究提出的是自研的轻量级深度卷积神经网络（""A lightweight DCNN takes one wrapped phase-map as input and outputs the fringe order map""），属于自研算法/代码，未使用任何具名的第三方非牙科3D软件；且主题为光学三维测量，不属于口腔医学。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究提出的是自研的轻量级深度卷积神经网络（""A lightweight DCNN takes one wrapped phase-map as input and outputs the fringe order map""），属于自研算法/代码，未使用任何具名的第三方非牙科3D软件；且主题为光学三维测量，不属于口腔医学。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
simple and cost effective generation of 3d cell sheets and spheroids using curvature controlled paraffin wax substrates,Simple and Cost-Effective Generation of 3D Cell Sheets and Spheroids Using Curvature-Controlled Paraffin Wax Substrates,NANO CONVERGENCE,journalArticle,TT3FFFAV,Kim 等 - 2024 - Simple and Cost-Effective Generation of 3D Cell Sheets and Spheroids Using Curvature-Controlled Para.pdf,EXCLUDE,该研究主题为使用石蜡膜生成3D细胞片与球体，属于组织工程/细胞生物学，不属于口腔医学任一学科；且证据中仅出现 ImageJ（图像分析软件），未体现使用具名第三方非牙科3D软件进行3D数据处理、分析、建模或测量。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究主题为使用石蜡膜生成3D细胞片与球体，属于组织工程/细胞生物学，不属于口腔医学任一学科；且证据中仅出现 ImageJ（图像分析软件），未体现使用具名第三方非牙科3D软件进行3D数据处理、分析、建模或测量。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
a robust registration algorithm based on salient object detection,A robust registration algorithm based on salient object detection,MULTIMEDIA TOOLS AND APPLICATIONS,journalArticle,HIGYUZZD,Yao 等 - 2022 - A robust registration algorithm based on salient object detection.pdf,EXCLUDE,该文献属于计算机视觉领域的点云配准算法研究，主题不属于口腔医学；且证据片段中未出现任何该研究自身使用的具名第三方非牙科3D软件，仅提出自研配准算法。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该文献属于计算机视觉领域的点云配准算法研究，主题不属于口腔医学；且证据片段中未出现任何该研究自身使用的具名第三方非牙科3D软件，仅提出自研配准算法。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
temporal modulation of dna methylation and gene expression in monolayer and 3d spheroids of dental pulp stem cells during osteogenic differentiation a comparative study,Temporal Modulation of DNA Methylation and Gene Expression in Monolayer and 3D Spheroids of Dental Pulp Stem Cells during Osteogenic Differentiation: A Comparative Study,TISSUE ENGINEERING AND REGENERATIVE MEDICINE,journalArticle,RAR7M36P,Raik 等 - 2022 - Temporal Modulation of DNA Methylation and Gene Expression in Monolayer and 3D Spheroids of Dental P.pdf,EXCLUDE,"证据片段中出现的具名软件为 ""BioEdit""（序列分析）和 ""GraphPad Prism 6""（统计分析），二者均非三维（3D）软件；micro-CT 仅提及设备 ""Phoenix Nanotom S""，未涉及具名第三方非牙科3D软件用于3D数据处理、分析、建模或测量。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中出现的具名软件为 ""BioEdit""（序列分析）和 ""GraphPad Prism 6""（统计分析），二者均非三维（3D）软件；micro-CT 仅提及设备 ""Phoenix Nanotom S""，未涉及具名第三方非牙科3D软件用于3D数据处理、分析、建模或测量。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
in fiber bragg sensor measurements assess fluid effects on strain in the periodontal space of an ex vivo swine incisor complex under mechanical loading,In-fiber Bragg sensor measurements assess fluid effects on strain in the periodontal space of an ex-vivo swine incisor complex under mechanical loading,JOURNAL OF BIOMECHANICS,journalArticle,BIUPRBSD,Armijo 等 - 2023 - In-fiber Bragg sensor measurements assess fluid effects on strain in the periodontal space of an ex-.pdf,INCLUDE,"该研究自身在方法中使用 ""Matlab (MathWorks, Natick, MA) software was used to convert shifts in Bragg wavelength to microstrain""，属于具名第三方非牙科3D软件用于数据处理。",MATLAB,Orthodontics,Biomechanical analysis and simulation,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 ""Matlab (MathWorks, Natick, MA) software was used to convert shifts in Bragg wavelength to microstrain""，属于具名第三方非牙科3D软件用于数据处理。
【软件】: MATLAB
【专科】: Orthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: in_vitro"
novel standardized method for inducing medication related osteonecrosis of the jaw in rats and precise quantitative assessment of pathological outcomes,Novel standardized method for inducing medication-related osteonecrosis of the jaw in rats and precise quantitative assessment of pathological outcomes,ODONTOLOGY,journalArticle,A88G5IRI,Hanada 等 - 2025 - Novel standardized method for inducing medication-related osteonecrosis of the jaw in rats and preci.pdf,EXCLUDE,"该研究自身使用的三维分析软件为 TRI/3D-BON-FCS64（""The acquired images were processed and analyzed using the TRI/3D-BON-FCS64 software""），这是牙科/骨形态计量专用软件，不属于非牙科3D软件；其余软件（ImageJ、G*Power、SPSS）也非三维建模/分析类非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究自身使用的三维分析软件为 TRI/3D-BON-FCS64（""The acquired images were processed and analyzed using the TRI/3D-BON-FCS64 software""），这是牙科/骨形态计量专用软件，不属于非牙科3D软件；其余软件（ImageJ、G*Power、SPSS）也非三维建模/分析类非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
a rare coeliacomesenteric trunk arising from the aorta and a hepatophrenic trunk giving rise to an accessory left hepatic artery proposal of a new classification system for hepatic arterial variations,A Rare Coeliacomesenteric Trunk Arising from the Aorta and a Hepatophrenic Trunk Giving Rise to an Accessory Left Hepatic Artery: Proposal of a New Classification System for Hepatic Arterial Variations,BRATISLAVA MEDICAL JOURNAL,journalArticle,58D6XU47,Cakir 等 - 2026 - A Rare Coeliacomesenteric Trunk Arising from the Aorta and a Hepatophrenic Trunk Giving Rise to an A.pdf,EXCLUDE,该研究主题为肝动脉变异（腹部血管解剖），不属于口腔医学任一学科；虽使用 Vitrea 软件进行三维重建，但主题不符合纳入标准第1条。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究主题为肝动脉变异（腹部血管解剖），不属于口腔医学任一学科；虽使用 Vitrea 软件进行三维重建，但主题不符合纳入标准第1条。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
trueness of the apical and middle root portion segments of 3d printed removable die and alveolar cast designs manufactured using stereolithographic 3d printing,Trueness of the apical and middle root portion segments of 3D-printed removable die and alveolar cast designs manufactured using stereolithographic 3D printing,JOURNAL OF PROSTHODONTICS-IMPLANT ESTHETIC AND RECONSTRUCTIVE DENTISTRY,journalArticle,PGF7LT48,Azpiazu-Flores 等 - 2026 - Trueness of the apical and middle root portion segments of 3D-printed removable die and alveolar cas.pdf,INCLUDE,"该研究自身在材料与方法中使用非牙科3D计量软件进行3D数据比对分析，原文明确写道""their respective standard tessellation language files were aligned and compared to master reference files in a metrology-grade computer program (Geomagic Control X; 3D systems, Rock Hill, NC)""。",Geomagic Control X,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用非牙科3D计量软件进行3D数据比对分析，原文明确写道""their respective standard tessellation language files were aligned and compared to master reference files in a metrology-grade computer program (Geomagic Control X; 3D systems, Rock Hill, NC)""。
【软件】: Geomagic Control X
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
a retrospective cohort study on scan quality of implant scanbodies matched with cad libraries,A Retrospective Cohort Study on Scan Quality of Implant Scanbodies Matched With CAD Libraries,CLINICAL IMPLANT DENTISTRY AND RELATED RESEARCH,journalArticle,7XTL6VPY,Boz和Akca - 2025 - A Retrospective Cohort Study on Scan Quality of Implant Scanbodies Matched With CAD Libraries.pdf,EXCLUDE,"证据片段中仅提及""dental CAD software""这一泛称，未出现任何具名的第三方非牙科3D软件被该研究自己使用；且该研究使用的是牙科CAD软件进行SB库匹配。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中仅提及""dental CAD software""这一泛称，未出现任何具名的第三方非牙科3D软件被该研究自己使用；且该研究使用的是牙科CAD软件进行SB库匹配。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
ph responsive polydopamine coated mesoporous silica nanoplatform integrated into 3d printed pla nha scaffolds for synergistic bone regeneration,pH-responsive polydopamine-coated mesoporous silica nanoplatform integrated into 3D-printed PLA/nHA scaffolds for synergistic bone regeneration,INTERNATIONAL JOURNAL OF BIOPRINTING,journalArticle,5Q98LR84,Xu 等 - 2026 - pH-responsive polydopamine-coated mesoporous silica nanoplatform integrated into 3D-printed PLAnHA.pdf,INCLUDE,"该研究自身在材料与方法中使用具名第三方非牙科3D软件 ""Analyze software (14.0, AnalyzeDirect, USA)"" 对Micro-CT重建数据进行定量分析。",Analyze,Oral and Maxillofacial Surgery,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用具名第三方非牙科3D软件 ""Analyze software (14.0, AnalyzeDirect, USA)"" 对Micro-CT重建数据进行定量分析。
【软件】: Analyze
【专科】: Oral and Maxillofacial Surgery
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
3d printing for tissue organ regeneration in china,3D printing for tissue/organ regeneration in China,BIO-DESIGN AND MANUFACTURING,journalArticle,6FE3CE5K,He 等 - 2025 - 3D printing for tissueorgan regeneration in China.pdf,EXCLUDE,"该文献为综述（摘要明确为 ""this review brings together a cohort of leading young scientists""），且证据片段中未出现任何该研究自身使用的具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该文献为综述（摘要明确为 ""this review brings together a cohort of leading young scientists""），且证据片段中未出现任何该研究自身使用的具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
tissue surface adaptation and retention of digital obturator after one year of use,Tissue surface adaptation and retention of digital obturator after one year of use,BMC ORAL HEALTH,journalArticle,MTZIVEQB,Khalaf 等 - 2024 - Tissue surface adaptation and retention of digital obturator after one year of use..pdf,INCLUDE,"该研究自身在方法中使用 ""A color map of the scanned reference and digital obturator was made using Geomagic software to evaluate the accuracy of fit""，Geomagic 为非牙科第三方3D软件，用于3D数据比对与测量。",Geomagic,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 ""A color map of the scanned reference and digital obturator was made using Geomagic software to evaluate the accuracy of fit""，Geomagic 为非牙科第三方3D软件，用于3D数据比对与测量。
【软件】: Geomagic
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
an innovative tooth on chip microfluidic device emulating the structure and physiology of the dental pulp tissue,An Innovative “Tooth-On-Chip” Microfluidic Device Emulating the Structure and Physiology of the Dental Pulp Tissue,ADVANCED HEALTHCARE MATERIALS,journalArticle,CQM5FTNI,Cordiale 等 - 2026 - An Innovative “Tooth-On-Chip” Microfluidic Device Emulating the Structure and Physiology of the Dent.pdf,INCLUDE,"该研究在实验部分明确使用 AutoCAD 绘制微流控装置布局（""The 'tooth-on-chip' microfluidic device layout was drawn using computer-aided design (CAD) software (AutoCAD, AutoDesk Inc.)""），AutoCAD 为具名的第三方非牙科3D软件，用于3D建模设计。",AutoCAD,Endodontics,Digital design and manufacturing,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究在实验部分明确使用 AutoCAD 绘制微流控装置布局（""The 'tooth-on-chip' microfluidic device layout was drawn using computer-aided design (CAD) software (AutoCAD, AutoDesk Inc.)""），AutoCAD 为具名的第三方非牙科3D软件，用于3D建模设计。
【软件】: AutoCAD
【专科】: Endodontics
【应用场景】: Digital design and manufacturing
【研究设计】: in_vitro"
establishment and validation of an efficient method for the 3d culture of osteoclasts in vitro,Establishment and validation of an efficient method for the 3D culture of osteoclasts in vitro,JOURNAL OF DENTISTRY,journalArticle,22UQETPW,Faqeer 等 - 2024 - Establishment and validation of an efficient method for the 3D culture of osteoclasts in vitro..pdf,EXCLUDE,全文抽取的软件相关证据片段中未出现任何具名的第三方非牙科3D软件，研究仅涉及胶原和GelMA水凝胶的3D细胞培养方法，无3D软件处理、分析或测量内容。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 全文抽取的软件相关证据片段中未出现任何具名的第三方非牙科3D软件，研究仅涉及胶原和GelMA水凝胶的3D细胞培养方法，无3D软件处理、分析或测量内容。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
the link between abutment configuration and marginal bone loss in subcrestally placed posterior implant supported restorations,The link between abutment configuration and marginal bone loss in subcrestally placed posterior implant-supported restorations,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,JILIPTM5,Nam 等 - 2025 - The link between abutment configuration and marginal bone loss in subcrestally placed posterior impl.pdf,INCLUDE,"该研究自身在材料与方法中使用 AutoCAD 2024 测量种植体肩台与首个骨-种植体接触点之间的距离（""Marginal bone levels were assessed by measuring the distance between the implant shoulder and the first bone-to-implant contact using a CAD program (AutoCAD 2024; Autodesk)""）。",AutoCAD,Implantology,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用 AutoCAD 2024 测量种植体肩台与首个骨-种植体接触点之间的距离（""Marginal bone levels were assessed by measuring the distance between the implant shoulder and the first bone-to-implant contact using a CAD program (AutoCAD 2024; Autodesk)""）。
【软件】: AutoCAD
【专科】: Implantology
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
3d models for oral inflammation using gingival fibroblasts lipopolysaccharides and hypoxia,"3D models for oral inflammation using gingival fibroblasts, lipopolysaccharides and hypoxia",SCIENTIFIC REPORTS,journalArticle,99SWF2CI,"Agger 等 - 2026 - 3D models for oral inflammation using gingival fibroblasts, lipopolysaccharides and hypoxia.pdf",EXCLUDE,证据片段仅涉及生物学实验（缺氧、LPS刺激、基因表达、细胞因子分泌等），未出现任何具名的第三方非牙科3D软件被该研究自身使用。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅涉及生物学实验（缺氧、LPS刺激、基因表达、细胞因子分泌等），未出现任何具名的第三方非牙科3D软件被该研究自身使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
innovative approach to computer aided measurement of unilateral cleft lip and palate models using onyxceph3,Innovative Approach to Computer-Aided Measurement of Unilateral Cleft Lip and Palate Models Using OnyxCeph3?,APPLIED SCIENCES-BASEL,journalArticle,TJ9ACC3S,Buehling 等 - 2025 - Innovative Approach to Computer-Aided Measurement of Unilateral Cleft Lip and Palate Models Using On.pdf,EXCLUDE,"该研究仅使用牙科专用软件 OnyxCeph3™（""the analysis software OnyxCeph3™ (Image Instruments® GmbH, Chemnitz, Germany)""），未使用任何具名的第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究仅使用牙科专用软件 OnyxCeph3™（""the analysis software OnyxCeph3™ (Image Instruments® GmbH, Chemnitz, Germany)""），未使用任何具名的第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
factors influencing craniofaciadental changes in skeletal class iii orthognathic surgery by using machine learning,Factors influencing craniofaciadental changes in skeletal Class III orthognathic surgery by using machine learning,JOURNAL OF DENTAL SCIENCES,journalArticle,XCI3WWY4,Abdillah 等 - 2025 - Factors influencing craniofaciadental changes in skeletal Class III orthognathic surgery by using ma.pdf,EXCLUDE,"该研究使用的是牙科专用软件 WEBCEPH（""analyzed using WEBCEPH digital cephalometric analysis software""），以及 SPSS 和 Python 用于统计分析/机器学习，均不属于具名的第三方非牙科三维（3D）软件，且未涉及3D数据的处理、分析、建模或测量。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究使用的是牙科专用软件 WEBCEPH（""analyzed using WEBCEPH digital cephalometric analysis software""），以及 SPSS 和 Python 用于统计分析/机器学习，均不属于具名的第三方非牙科三维（3D）软件，且未涉及3D数据的处理、分析、建模或测量。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
evaluating surgical approaches for hemimandibular hyperplasia associated with osteochondroma a systematic literature review,Evaluating Surgical Approaches for Hemimandibular Hyperplasia Associated with Osteochondroma: A Systematic Literature Review,JOURNAL OF CLINICAL MEDICINE,journalArticle,FUT7TPXZ,Almeida 等 - 2024 - Evaluating Surgical Approaches for Hemimandibular Hyperplasia Associated with Osteochondroma A Syst.pdf,EXCLUDE,"该文献为系统综述（题名及摘要明确为""A Systematic Literature Review""），属于排除的文献类型；且证据片段中提及的3D软件相关内容均为引用他人研究（如""Si et al. (2023) demonstrated the application of a 3D-printed cutting guide""），并非该研究自身使用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该文献为系统综述（题名及摘要明确为""A Systematic Literature Review""），属于排除的文献类型；且证据片段中提及的3D软件相关内容均为引用他人研究（如""Si et al. (2023) demonstrated the application of a 3D-printed cutting guide""），并非该研究自身使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
artificial intelligence performance in maxillary canine impaction a systematic review,Artificial intelligence performance in maxillary canine impaction: a systematic review,EUROPEAN JOURNAL OF MEDICAL RESEARCH,journalArticle,J59JBZ9K,Assiri 等 - 2026 - Artificial intelligence performance in maxillary canine impaction a systematic review.pdf,EXCLUDE,"该文献为系统综述（""This systematic review evaluates the literature""），且证据片段中仅泛泛提及他人研究使用的AI模型（""U-Net, ResNet50, SqueezeNet, and Fast R-CNN""），未显示该研究自身使用任何具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该文献为系统综述（""This systematic review evaluates the literature""），且证据片段中仅泛泛提及他人研究使用的AI模型（""U-Net, ResNet50, SqueezeNet, and Fast R-CNN""），未显示该研究自身使用任何具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
dynamic navigation for prosthetically driven zygomatic implant placement in extensive maxillary defects results of a prospective case series,Dynamic navigation for prosthetically driven zygomatic implant placement in extensive maxillary defects: Results of a prospective case series,CLINICAL IMPLANT DENTISTRY AND RELATED RESEARCH,journalArticle,JYJSMM4M,Wang 等 - 2022 - Dynamic navigation for prosthetically driven zygomatic implant placement in extensive maxillary defe.pdf,EXCLUDE,"证据片段中仅泛泛提及""Software was used to virtually plan""和""Computer-aided design and computer-aided manufacture""，未出现任何具名的第三方非牙科3D软件名称。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中仅泛泛提及""Software was used to virtually plan""和""Computer-aided design and computer-aided manufacture""，未出现任何具名的第三方非牙科3D软件名称。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
effect of different surface treatments on the bond strength of milled polyetheretherketone posts,Effect of different surface treatments on the bond strength of milled polyetheretherketone posts,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,8CQXSRJC,Attia 等 - 2022 - Effect of different surface treatments on the bond strength of milled polyetheretherketone posts.pdf,EXCLUDE,该研究仅使用牙科专用 CAD-CAM 系统（CEREC Primescan Software v.9; Dentsply Sirona）进行设计与制作，证据中未出现任何具名的第三方非牙科3D软件被该研究自己使用。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究仅使用牙科专用 CAD-CAM 系统（CEREC Primescan Software v.9; Dentsply Sirona）进行设计与制作，证据中未出现任何具名的第三方非牙科3D软件被该研究自己使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
iteration of tumor organoids in drug development simplification and integration,Iteration of Tumor Organoids in Drug Development: Simplification and Integration,PHARMACEUTICALS,journalArticle,R9QBMTFF,Zhao 等 - 2025 - Iteration of Tumor Organoids in Drug Development Simplification and Integration.pdf,EXCLUDE,"该文献为综述（摘要明确 ""This review highlights the 'Organoid plus and minus' framework""），且主题为肿瘤类器官药物开发，不属于口腔医学；证据片段中亦无该研究自身使用的具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该文献为综述（摘要明确 ""This review highlights the 'Organoid plus and minus' framework""），且主题为肿瘤类器官药物开发，不属于口腔医学；证据片段中亦无该研究自身使用的具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
the relevance of intraoral scanner ios for periodontal diagnosis a scoping review,The relevance of intraoral scanner (IOS) for periodontal diagnosis: A scoping review,JOURNAL OF DENTISTRY,journalArticle,QFG24RI9,Caron 等 - 2025 - The relevance of intraoral scanner (IOS) for periodontal diagnosis A scoping review.pdf,EXCLUDE,"该文献为 scoping review（摘要明确 ""The aim of this scoping review was to map the literature...""），属于综述类型，不符合原创研究/技术说明/病例报告的纳入要求；且证据片段中仅泛泛提及 ""Software analysis enhanced the interpretation of IOS data"" 和 ""the requirement for appropriate matching software""，未指明该研究自身使用的具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该文献为 scoping review（摘要明确 ""The aim of this scoping review was to map the literature...""），属于综述类型，不符合原创研究/技术说明/病例报告的纳入要求；且证据片段中仅泛泛提及 ""Software analysis enhanced the interpretation of IOS data"" 和 ""the requirement for appropriate matching software""，未指明该研究自身使用的具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
