_nt,Title,期刊,Item Type,流程原因,命中软件,判定,理由,原始返回
feasibility of augmented reality using dental arch based registration applied to navigation in mandibular distraction osteogenesis a phantom experiment,Feasibility of augmented reality using dental arch-based registration applied to navigation in mandibular distraction osteogenesis: a phantom experiment,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,3-Matic; 3-matic; Mimics,E1,该研究为口腔颌面外科原创幻影实验，全文明确使用非牙科3D软件3-Matic 13.0进行模型编辑与术后测量、Mimics 21.0导入CT数据，符合纳入标准。,"【判定】: E1
【理由】: 该研究为口腔颌面外科原创幻影实验，全文明确使用非牙科3D软件3-Matic 13.0进行模型编辑与术后测量、Mimics 21.0导入CT数据，符合纳入标准。"
a novel approach to craniofacial analysis using automated 3d landmarking of the skull,A novel approach to craniofacial analysis using automated 3D landmarking of the skull,SCIENTIFIC REPORTS,journalArticle,No non-dental 3D software identified,3D Slicer; 3D slicer; Blender; MATLAB; Matlab; MeVisLab; Meshmixer,E1,该研究属口腔颌面放射/颅面形态学主题，全文明确使用3D Slicer、Blender、Meshmixer等非牙科专用3D软件进行CBCT数据处理与建模，且为发表于Scientific Reports的原创研究。,"【判定】: E1
【理由】: 该研究属口腔颌面放射/颅面形态学主题，全文明确使用3D Slicer、Blender、Meshmixer等非牙科专用3D软件进行CBCT数据处理与建模，且为发表于Scientific Reports的原创研究。"
accuracy of guided implant surgery obtained using 3d printed surgical guides an in vitro comparison of four evaluation methods,Accuracy of guided implant surgery obtained using 3D-printed surgical guides - An in vitro comparison of four evaluation methods,INTERNATIONAL JOURNAL OF COMPUTERIZED DENTISTRY,journalArticle,No non-dental 3D software identified,GOM Inspect,E1,该研究为口腔种植领域的原创体外研究，全文明确使用非牙科专用3D分析软件 GOM Inspect 进行扫描数据配准与三维偏差分析。,"【判定】: E1
【理由】: 该研究为口腔种植领域的原创体外研究，全文明确使用非牙科专用3D分析软件 GOM Inspect 进行扫描数据配准与三维偏差分析。"
impact of framework material cantilever design and wing configuration on stress distribution in patient specific additively manufactured subperiosteal jaw implants a 3d finite element analysis,"Impact of framework material, cantilever design, and wing configuration on stress distribution in patient specific additively manufactured subperiosteal jaw implants: a 3D finite element analysis",BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,3D Slicer; 3D-Doctor; ANSYS; Rhinoceros; SpaceClaim; VRMesh,E1,该研究为口腔种植领域的原创有限元研究，全文明确使用3D Slicer、ANSYS SpaceClaim、ANSYS Workbench等非牙科专用3D软件进行建模与应力分析。,"【判定】: E1
【理由】: 该研究为口腔种植领域的原创有限元研究，全文明确使用3D Slicer、ANSYS SpaceClaim、ANSYS Workbench等非牙科专用3D软件进行建模与应力分析。"
a customised 3d u net model for bifid mandibular canal segmentation and detection on cbct a diagnostic accuracy study,A customised 3D U-Net model for bifid mandibular canal segmentation and detection on CBCT: a diagnostic accuracy study,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,3D Slicer,E1,"该研究为口腔颌面放射领域的原创诊断准确性研究，且全文明确使用非牙科专用软件 3D Slicer 进行体素级分割标注（""manual voxel-wise segmentation using 3D Slicer""），符合全部纳入标准。","【判定】: E1
【理由】: 该研究为口腔颌面放射领域的原创诊断准确性研究，且全文明确使用非牙科专用软件 3D Slicer 进行体素级分割标注（""manual voxel-wise segmentation using 3D Slicer""），符合全部纳入标准。"
mrcm uctransnet automatic and accurate 3d tooth segmentation network from cone beam ct images,MRCM-UCTransNet: Automatic and Accurate 3D Tooth Segmentation Network From Cone-Beam CT Images,INTERNATIONAL JOURNAL OF IMAGING SYSTEMS AND TECHNOLOGY,journalArticle,No non-dental 3D software identified,Mimics,E1,该研究属口腔放射/牙体分割原创研究，且全文明确将Mimics内置分割算法作为对照工具用于3D模型比较（Figure 6），符合非牙科专用3D软件自身使用标准。,"【判定】: E1
【理由】: 该研究属口腔放射/牙体分割原创研究，且全文明确将Mimics内置分割算法作为对照工具用于3D模型比较（Figure 6），符合非牙科专用3D软件自身使用标准。"
a tmps designed personalized mandibular scaffolds with optimized sla parameters and mechanical properties,A TMPS-designed personalized mandibular scaffolds with optimized SLA parameters and mechanical properties,FRONTIERS IN MATERIALS,journalArticle,No non-dental 3D software identified,Magics; Mimics,E1,该原创研究在口腔颌面骨缺损修复中明确使用非牙科3D软件 Mimics 19.0 进行下颌骨DICOM阈值分割与3D重建，并用 Magics 26.0 生成支撑，符合纳入标准。,"【判定】: E1
【理由】: 该原创研究在口腔颌面骨缺损修复中明确使用非牙科3D软件 Mimics 19.0 进行下颌骨DICOM阈值分割与3D重建，并用 Magics 26.0 生成支撑，符合纳入标准。"
effect of attachment flash on clear aligner force delivery an in vitro study,Effect of attachment flash on clear aligner force delivery: an in vitro study,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,MATLAB; Meshmixer,E1,"该体外研究属口腔正畸领域，全文明确使用非牙科专用软件 Meshmixer 编辑 3D 模型（""further edited in the Autodesk Meshmixer version 3.5 software""），符合原创研究及纳入标准。","【判定】: E1
【理由】: 该体外研究属口腔正畸领域，全文明确使用非牙科专用软件 Meshmixer 编辑 3D 模型（""further edited in the Autodesk Meshmixer version 3.5 software""），符合原创研究及纳入标准。"
accuracy of dicom dicom vs dicom stl protocols in computer guided surgery a human clinical study,Accuracy of DICOM-DICOM vs. DICOM-STL Protocols in Computer-Guided Surgery: A Human Clinical Study,JOURNAL OF CLINICAL MEDICINE,journalArticle,No non-dental 3D software identified,Geomagic,E1,该研究为口腔种植领域的原创临床研究，全文明确使用非牙科3D软件Geomagic进行STL数据配准与偏差测量，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为口腔种植领域的原创临床研究，全文明确使用非牙科3D软件Geomagic进行STL数据配准与偏差测量，符合全部纳入标准。"
biomechanical analysis of all on 4 implant supported framework using different materials across various clinical practice,Biomechanical analysis of All-on-4 implant supported framework using different materials across various clinical practice,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,ANSYS; Geomagic; Geomagic Studio; Mimics; SolidWorks,E1,该研究为口腔种植领域的三维有限元原创研究，全文明确使用Mimics、Geomagic Studio、SolidWorks、ANSYS等非牙科专用3D软件进行建模与分析。,"【判定】: E1
【理由】: 该研究为口腔种植领域的三维有限元原创研究，全文明确使用Mimics、Geomagic Studio、SolidWorks、ANSYS等非牙科专用3D软件进行建模与分析。"
evaluation of the retentive forces from removable partial denture clasps manufactured by the digital method,Evaluation of the Retentive Forces from Removable Partial Denture Clasps Manufactured by the Digital Method,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,Meshmixer,E1,该研究属口腔修复学原创研究，且全文明确使用非牙科专用3D软件 Autodesk Meshmixer 设计树脂块用于3D建模。,"【判定】: E1
【理由】: 该研究属口腔修复学原创研究，且全文明确使用非牙科专用3D软件 Autodesk Meshmixer 设计树脂块用于3D建模。"
computer aided orthognathic surgery a general method for designing and manufacturing personalized cutting repositioning templates,Computer Aided Orthognathic Surgery: A General Method for Designing and Manufacturing Personalized Cutting/Repositioning Templates,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,3D Slicer; Geomagic; Rhinoceros,E1,该原创研究属口腔颌面外科领域，全文明确使用非牙科软件3D Slicer进行CT图像分割与三维重建，符合纳入标准。,"【判定】: E1
【理由】: 该原创研究属口腔颌面外科领域，全文明确使用非牙科软件3D Slicer进行CT图像分割与三维重建，符合纳入标准。"
precise sparse view dental crown reconstruction via 3d gaussian neural fields,Precise sparse-view dental crown reconstruction via 3D Gaussian neural fields,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,journalArticle,No non-dental 3D software identified,Cloudcompare,E1,该研究属口腔正畸领域原创研究，且全文明确使用非牙科专用3D软件CloudCompare手动提取牙冠区域用于3D数据处理。,"【判定】: E1
【理由】: 该研究属口腔正畸领域原创研究，且全文明确使用非牙科专用3D软件CloudCompare手动提取牙冠区域用于3D数据处理。"
patient specific virtual surgical planning for tongue reconstruction evaluating hyperelastic inverse fem with four simulated tongue cancer cases,Patient-specific virtual surgical planning for tongue reconstruction: evaluating hyperelastic inverse FEM with four simulated tongue cancer cases,PHYSICS IN MEDICINE AND BIOLOGY,journalArticle,No non-dental 3D software identified,MeshMixer; Mimics,E1,该原创研究在口腔颌面（舌癌）重建中自身使用了非牙科3D软件 Mimics 进行舌3D模型分割、MeshMixer 进行网格离散化，符合全部纳入标准。,"【判定】: E1
【理由】: 该原创研究在口腔颌面（舌癌）重建中自身使用了非牙科3D软件 Mimics 进行舌3D模型分割、MeshMixer 进行网格离散化，符合全部纳入标准。"
efficacy of submucosal polydeoxyribonucleotide injection after impacted mandibular third molar extraction a randomized controlled trial,Efficacy of Submucosal Polydeoxyribonucleotide Injection after Impacted Mandibular Third Molar Extraction: A Randomized Controlled Trial,YONSEI MEDICAL JOURNAL,journalArticle,No non-dental 3D software identified,3-matic; MIMICS,E1,该随机对照试验属口腔颌面外科主题，全文明确使用非牙科专用3D软件 Materialise MIMICS 21.0 和 3-matic 18.0 对STL面部扫描进行三维体积叠加分析，符合原创研究及时间范围要求。,"【判定】: E1
【理由】: 该随机对照试验属口腔颌面外科主题，全文明确使用非牙科专用3D软件 Materialise MIMICS 21.0 和 3-matic 18.0 对STL面部扫描进行三维体积叠加分析，符合原创研究及时间范围要求。"
traditional 2d and 3d workflows what is better for aesthetic rehabilitation of superior anterior teeth,"Traditional, 2D and 3D Workflows: What Is Better for Aesthetic Rehabilitation of Superior Anterior Teeth?",APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,Blender,E1,该研究属口腔修复学原创研究，全文明确使用非牙科专用3D软件Blender（version 2.90）设计3D数字蜡型，符合纳入标准。,"【判定】: E1
【理由】: 该研究属口腔修复学原创研究，全文明确使用非牙科专用3D软件Blender（version 2.90）设计3D数字蜡型，符合纳入标准。"
tissue surface adaptation and retention of digital obturator after one year of use,Tissue surface adaptation and retention of digital obturator after one year of use,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,Geomagic; Geomagic Control X; geomagic,E1,该原创研究在口腔修复领域使用非牙科专用软件 Geomagic Control X 对数字阻塞器进行3D表面配准与适配性分析，符合全部纳入标准。,"【判定】: E1
【理由】: 该原创研究在口腔修复领域使用非牙科专用软件 Geomagic Control X 对数字阻塞器进行3D表面配准与适配性分析，符合全部纳入标准。"
trueness of the apical and middle root portion segments of 3d printed removable die and alveolar cast designs manufactured using stereolithographic 3d printing,Trueness of the apical and middle root portion segments of 3D-printed removable die and alveolar cast designs manufactured using stereolithographic 3D printing,JOURNAL OF PROSTHODONTICS-IMPLANT ESTHETIC AND RECONSTRUCTIVE DENTISTRY,journalArticle,No non-dental 3D software identified,Geomagic Control X,E1,该研究为口腔修复学原创研究，全文明确使用非牙科专用3D软件 Geomagic Control X 进行3D扫描数据对齐与偏差分析（RMS计算），符合纳入标准。,"【判定】: E1
【理由】: 该研究为口腔修复学原创研究，全文明确使用非牙科专用3D软件 Geomagic Control X 进行3D扫描数据对齐与偏差分析（RMS计算），符合纳入标准。"
an innovative tooth on chip microfluidic device emulating the structure and physiology of the dental pulp tissue,An Innovative “Tooth-On-Chip” Microfluidic Device Emulating the Structure and Physiology of the Dental Pulp Tissue,ADVANCED HEALTHCARE MATERIALS,journalArticle,No non-dental 3D software identified,AutoCAD; COMSOL Multiphysics,E1,该原创研究属口腔生物学主题，且全文明确使用非牙科3D软件 AutoCAD 绘制器件设计、COMSOL Multiphysics 进行建模计算。,"【判定】: E1
【理由】: 该原创研究属口腔生物学主题，且全文明确使用非牙科3D软件 AutoCAD 绘制器件设计、COMSOL Multiphysics 进行建模计算。"
dynamic navigation for prosthetically driven zygomatic implant placement in extensive maxillary defects results of a prospective case series,Dynamic navigation for prosthetically driven zygomatic implant placement in extensive maxillary defects: Results of a prospective case series,CLINICAL IMPLANT DENTISTRY AND RELATED RESEARCH,journalArticle,No non-dental 3D software identified,BrainLAB,E1,该前瞻性病例系列属口腔种植原创研究，全文明确将STL数据导入非牙科专用导航软件BrainLAB iPlan Navigator用于颧种植体3D规划与导航。,"【判定】: E1
【理由】: 该前瞻性病例系列属口腔种植原创研究，全文明确将STL数据导入非牙科专用导航软件BrainLAB iPlan Navigator用于颧种植体3D规划与导航。"
the link between abutment configuration and marginal bone loss in subcrestally placed posterior implant supported restorations,The link between abutment configuration and marginal bone loss in subcrestally placed posterior implant-supported restorations,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,No non-dental 3D software identified,AutoCAD,E1,该回顾性研究属口腔种植学原创研究，全文明确使用非牙科专用3D软件 AutoCAD 2024 进行种植体边缘骨水平的测量分析。,"【判定】: E1
【理由】: 该回顾性研究属口腔种植学原创研究，全文明确使用非牙科专用3D软件 AutoCAD 2024 进行种植体边缘骨水平的测量分析。"
effect of implant number attachment type and framework material on stress distribution in mandibular overdentures a finite element analysis,"Effect of implant number, attachment type, and framework material on stress distribution in mandibular overdentures: a finite element analysis",BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,3D Slicer; ANSYS; SpaceClaim,E1,该研究为口腔种植修复领域的原创有限元研究，全文明确使用非牙科专用软件3D Slicer进行CBCT分割建模、ANSYS SpaceClaim进行几何处理，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为口腔种植修复领域的原创有限元研究，全文明确使用非牙科专用软件3D Slicer进行CBCT分割建模、ANSYS SpaceClaim进行几何处理，符合全部纳入标准。"
automatic landmark identification for surgical 3d navigation a proposed method for marker free dental surgical navigation systems,Automatic landmark identification for surgical 3d-navigation - A proposed method for marker-free dental surgical navigation systems,BIOMEDICAL ENGINEERING-BIOMEDIZINISCHE TECHNIK,journalArticle,No non-dental 3D software identified,MATLAB,E1,"该研究属口腔颌面外科导航主题，且自身明确使用非牙科专用软件MATLAB实现所提方法（""The proposed method was implemented in MATLAB""），为原创研究，符合全部纳入标准。","【判定】: E1
【理由】: 该研究属口腔颌面外科导航主题，且自身明确使用非牙科专用软件MATLAB实现所提方法（""The proposed method was implemented in MATLAB""），为原创研究，符合全部纳入标准。"
digital assessment of the accuracy of implant impression techniques in free end saddle partially edentulous patients a controlled clinical trial,Digital assessment of the accuracy of implant impression techniques in free end saddle partially edentulous patients. A controlled clinical trial,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,Geomagic Control X,E1,该研究为口腔种植领域的原创临床试验，全文明确使用非牙科专用3D软件 Geomagic Control X 进行3D偏差比较与分割分析，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为口腔种植领域的原创临床试验，全文明确使用非牙科专用3D软件 Geomagic Control X 进行3D偏差比较与分割分析，符合全部纳入标准。"
biomechanical evaluation of prosthetic framework materials in subperiosteal implants a finite element analysis,Biomechanical evaluation of prosthetic framework materials in subperiosteal implants: a finite element analysis,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,ANSYS; Mimics; SolidWorks; SpaceClaim,E1,该文为口腔种植领域有限元研究，全文明确使用Mimics、SolidWorks、ANSYS等非牙科专用3D软件进行建模与分析，符合纳入标准。,"【判定】: E1
【理由】: 该文为口腔种植领域有限元研究，全文明确使用Mimics、SolidWorks、ANSYS等非牙科专用3D软件进行建模与分析，符合纳入标准。"
biomechanics of the tooth cervical region investigated using 3d digital image correlation micro ct and finite element analysis,"Biomechanics of the tooth cervical region investigated using 3D digital image correlation, micro CT, and finite element analysis",SCIENTIFIC REPORTS,journalArticle,No non-dental 3D software identified,Amira; Blender; blender,E1,该原创研究属口腔生物力学主题，全文明确使用非牙科3D软件 Amira（可视化micro-CT数据）和 Blender（渲染3D-DIC实验装置图）进行3D数据处理与建模。,"【判定】: E1
【理由】: 该原创研究属口腔生物力学主题，全文明确使用非牙科3D软件 Amira（可视化micro-CT数据）和 Blender（渲染3D-DIC实验装置图）进行3D数据处理与建模。"
clinical efficacy of maxillary digital removable partial dentures based on direct intraoral scanning and selective laser melting technology a double blind randomized controlled crossover clinical trial,Clinical efficacy of maxillary digital removable partial dentures based on direct intraoral scanning and selective laser melting technology: a double-blind randomized controlled crossover clinical trial,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,Geomagic; Geomagic Studio,E1,该随机对照试验属口腔修复学原创研究，全文明确使用非牙科3D软件Geomagic Studio 2014进行扫描配准与偏差分析。,"【判定】: E1
【理由】: 该随机对照试验属口腔修复学原创研究，全文明确使用非牙科3D软件Geomagic Studio 2014进行扫描配准与偏差分析。"
zirconia endocrown with intracanal extension and zi posts on maxillary molars in silico study,Zirconia endocrown with intracanal extension and zi posts on maxillary molars: in silico study,QUINTESSENCE INTERNATIONAL,journalArticle,No non-dental 3D software identified,Algor; Rhinoceros; VRMesh,E1,该研究为口腔修复学有限元原创研究，全文明确使用非牙科3D软件Rhinoceros、VRMesh和Algor进行建模与应力分析。,"【判定】: E1
【理由】: 该研究为口腔修复学有限元原创研究，全文明确使用非牙科3D软件Rhinoceros、VRMesh和Algor进行建模与应力分析。"
an application framework of 3d assessment image registration accuracy and untouched surface area in canal instrumentation laboratory research with micro computed tomography,An application framework of 3D assessment image registration accuracy and untouched surface area in canal instrumentation laboratory research with micro-computed tomography,CLINICAL ORAL INVESTIGATIONS,journalArticle,No non-dental 3D software identified,Geomagic; Geomagic Studio; MeVisLab; MeshLab; Meshlab,E1,该研究为牙体牙髓病学原创研究，明确使用非牙科专用3D软件MeVisLab构建定制框架进行图像配准与未接触面积测量，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为牙体牙髓病学原创研究，明确使用非牙科专用3D软件MeVisLab构建定制框架进行图像配准与未接触面积测量，符合全部纳入标准。"
automatic prediction of depth of invasion in oral tongue squamous cell carcinoma using a multimodal regression network fusing prior text and anatomical knowledge,Automatic prediction of depth of invasion in oral tongue squamous cell carcinoma using a multimodal regression network fusing prior text and anatomical knowledge,MEDICAL IMAGE ANALYSIS,journalArticle,No non-dental 3D software identified,ITK-SNAP,E1,该研究属口腔颌面放射/口腔肿瘤主题，全文明确使用非牙科专用3D软件ITK-SNAP 4.2.0进行MRI分割与标志点标注，且为同行评审原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔颌面放射/口腔肿瘤主题，全文明确使用非牙科专用3D软件ITK-SNAP 4.2.0进行MRI分割与标志点标注，且为同行评审原创研究，符合全部纳入标准。"
complete 3d kinematics parameters of the temporo mandibular joints using in vivo data fusion,Complete 3D Kinematics Parameters of the Temporo-Mandibular Joints Using in Vivo Data Fusion,IRBM,journalArticle,No non-dental 3D software identified,Amira; Matlab,E1,该研究属颞下颌关节口腔医学主题，全文明确使用非牙科3D软件Amira 4.0进行MRI三维骨模型重建，且为原创研究，符合纳入标准。,"【判定】: E1
【理由】: 该研究属颞下颌关节口腔医学主题，全文明确使用非牙科3D软件Amira 4.0进行MRI三维骨模型重建，且为原创研究，符合纳入标准。"
biomechanical analysis of different pacifiers and their effects on the upper jaw and tongue,Biomechanical Analysis of Different Pacifiers and Their Effects on the Upper Jaw and Tongue,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,SOLIDWORKS; mimics,E1,该研究为口腔医学领域的原创研究，全文明确使用非牙科专用3D软件SOLIDWORKS 2014构建腭、舌及安抚奶嘴的3D模型并进行有限元分析。,"【判定】: E1
【理由】: 该研究为口腔医学领域的原创研究，全文明确使用非牙科专用3D软件SOLIDWORKS 2014构建腭、舌及安抚奶嘴的3D模型并进行有限元分析。"
dentalarch ai based arch shape detection in orthodontics,DentalArch: AI-Based Arch Shape Detection in Orthodontics,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,MATLAB; MeshLab; matlab,E1,该研究属正畸学科，全文明确使用非牙科专用3D软件MeshLab对数字化牙颌模型进行测量分析，且为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属正畸学科，全文明确使用非牙科专用3D软件MeshLab对数字化牙颌模型进行测量分析，且为原创研究，符合全部纳入标准。"
3d printed indirect bonding trays transfer accuracy of bar vs shell design in a prospective randomized clinical trial,"3D printed indirect bonding trays: transfer accuracy of bar vs shell design in a prospective, randomized clinical trial",ANGLE ORTHODONTIST,journalArticle,No non-dental 3D software identified,GOM Inspect; GOM inspect,E1,该前瞻性随机临床试验属正畸学科，且全文明确将STL模型导入非牙科专用软件GOM Inspect进行配准与三维测量分析，符合原创研究纳入标准。,"【判定】: E1
【理由】: 该前瞻性随机临床试验属正畸学科，且全文明确将STL模型导入非牙科专用软件GOM Inspect进行配准与三维测量分析，符合原创研究纳入标准。"
a low cost wireless bite force measurement device,A Low-Cost Wireless Bite Force Measurement Device,MATERIALS,journalArticle,No non-dental 3D software identified,AutoCAD; Matlab,E1,该研究属口腔医学（咬合力测量），自身使用非牙科3D软件AutoCAD进行定制咬合叉的3D建模设计，为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔医学（咬合力测量），自身使用非牙科3D软件AutoCAD进行定制咬合叉的3D建模设计，为原创研究，符合全部纳入标准。"
protease responsive protein hydrogel enabling spatiotemporal clo2 release for precision treatment of intracellular infections and periodontitis,Protease-responsive protein hydrogel enabling spatiotemporal ClO2 release for precision treatment of intracellular infections and periodontitis,MATERIALS & DESIGN,journalArticle,No non-dental 3D software identified,Mimics,E1,该研究为牙周炎治疗的原创研究，全文明确使用非牙科专用3D软件Mimics Medical 21.0进行三维重建和牙槽骨缺损评估，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为牙周炎治疗的原创研究，全文明确使用非牙科专用3D软件Mimics Medical 21.0进行三维重建和牙槽骨缺损评估，符合全部纳入标准。"
is all on four effective in case of partial mandibular resection a 3d finite element study,Is All-on-four effective in case of partial mandibular resection? A 3D finite element study,JOURNAL OF STOMATOLOGY ORAL AND MAXILLOFACIAL SURGERY,journalArticle,No non-dental 3D software identified,ANSYS; Mimics; SolidWorks,E1,该研究为口腔种植/颌面外科领域的原创3D有限元研究，全文明确使用非牙科专用软件Mimics、SolidWorks和ANSYS进行建模与分析。,"【判定】: E1
【理由】: 该研究为口腔种植/颌面外科领域的原创3D有限元研究，全文明确使用非牙科专用软件Mimics、SolidWorks和ANSYS进行建模与分析。"
influence of planning software and template design on the accuracy of static computer assisted implant surgery performed using guides fabricated with material extrusion technology an in vitro study,Influence of planning software and template design on the accuracy of static computer assisted implant surgery performed using guides fabricated with material extrusion technology: An in vitro study,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,Geomagic Control X; Meshmixer,E1,该体外研究属口腔种植领域，全文明确将Meshmixer用于数字化整合导套、Geomagic Control X用于三维偏差测量，均为本研究自身使用的非牙科专用3D软件。,"【判定】: E1
【理由】: 该体外研究属口腔种植领域，全文明确将Meshmixer用于数字化整合导套、Geomagic Control X用于三维偏差测量，均为本研究自身使用的非牙科专用3D软件。"
microstructural heterogeneity of the collagenous network in the loaded and unloaded periodontal ligament and its biomechanical implications,Microstructural heterogeneity of the collagenous network in the loaded and unloaded periodontal ligament and its biomechanical implications,JOURNAL OF STRUCTURAL BIOLOGY,journalArticle,No non-dental 3D software identified,MATLAB; Simpleware,E1,该研究属于口腔牙周组织生物力学主题，全文明确使用非牙科3D软件 Simpleware ScanIP 进行图像分割、MATLAB 进行后续处理，且为原创研究，符合纳入标准。,"【判定】: E1
【理由】: 该研究属于口腔牙周组织生物力学主题，全文明确使用非牙科3D软件 Simpleware ScanIP 进行图像分割、MATLAB 进行后续处理，且为原创研究，符合纳入标准。"
study on 3d printed mxene berberine integrated scaffold for photo activated antibacterial activity and bone regeneration,Study on 3D printed MXene-berberine-integrated scaffold for photo-activated antibacterial activity and bone regeneration,JOURNAL OF MATERIALS CHEMISTRY B,journalArticle,No non-dental 3D software identified,Mimics,E1,该研究针对下颌骨缺损修复，全文明确使用非牙科3D软件Mimics对下颌骨进行重建和定量分析，属口腔医学原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究针对下颌骨缺损修复，全文明确使用非牙科3D软件Mimics对下颌骨进行重建和定量分析，属口腔医学原创研究，符合全部纳入标准。"
comparison of the accuracy of removable partial denture frameworks fabricated using conventional and digital impressions a clinical study,Comparison of the accuracy of removable partial denture frameworks fabricated using conventional and digital impressions: a clinical study,JOURNAL OF ADVANCED PROSTHODONTICS,journalArticle,No non-dental 3D software identified,GOM Inspect; Geomagic Control X,E1,"该临床研究自身使用非牙科3D计量软件GOM Inspect 2018进行三维叠加与间隙测量（""Data were analyzed using metrology software (GOM Inspect 2018...)""），属口腔修复原创研究，符合全部纳入标准。","【判定】: E1
【理由】: 该临床研究自身使用非牙科3D计量软件GOM Inspect 2018进行三维叠加与间隙测量（""Data were analyzed using metrology software (GOM Inspect 2018...)""），属口腔修复原创研究，符合全部纳入标准。"
a machine learning pipeline for cusp height prediction in worn lower molars methodological proof of concept and validation across homo,A Machine Learning Pipeline for Cusp Height Prediction in Worn Lower Molars: Methodological Proof-of-Concept and Validation Across Homo,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,Avizo; MeshLab; Meshlab,E1,该研究属口腔医学（牙体形态/口腔生物学）原创研究，且全文明确使用非牙科专用3D软件 MeshLab（version 2025.07）对牙体组织三维模型进行网格优化处理。,"【判定】: E1
【理由】: 该研究属口腔医学（牙体形态/口腔生物学）原创研究，且全文明确使用非牙科专用3D软件 MeshLab（version 2025.07）对牙体组织三维模型进行网格优化处理。"
fully automated 3d segmentation of periapical lesions on cbct images using nnu net v2,Fully automated 3D segmentation of periapical lesions on CBCT images using nnU-Net v2,BMC MEDICAL IMAGING,journalArticle,No non-dental 3D software identified,3D Slicer,E1,该研究为牙体牙髓领域的原创研究，明确使用非牙科专用3D软件3D Slicer（v5.10.0）进行病灶分割对象的分离与体积计算，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为牙体牙髓领域的原创研究，明确使用非牙科专用3D软件3D Slicer（v5.10.0）进行病灶分割对象的分离与体积计算，符合全部纳入标准。"
precision optimized process control in dlp printing of ultra thin zirconia prostheses a multi factor accuracy analysis,Precision-optimized process control in DLP printing of ultra-thin zirconia prostheses: A multi-factor accuracy analysis,DENTAL MATERIALS,journalArticle,No non-dental 3D software identified,Geomagic Wrap,E1,该研究为口腔修复学原创研究，全文明确使用非牙科3D软件Geomagic Wrap进行3D偏差分析以评估氧化锆贴面精度。,"【判定】: E1
【理由】: 该研究为口腔修复学原创研究，全文明确使用非牙科3D软件Geomagic Wrap进行3D偏差分析以评估氧化锆贴面精度。"
reduced graphene oxide loaded with tetrahedral framework nucleic acids for combating orthodontically induced root resorption,Reduced graphene oxide loaded with tetrahedral framework nucleic acids for combating orthodontically induced root resorption,JOURNAL OF NANOBIOTECHNOLOGY,journalArticle,No non-dental 3D software identified,Geomagic Wrap; Mimics,E1,该研究属口腔正畸主题，全文明确使用非牙科3D软件Mimics和Geomagic Wrap 2017进行Micro-CT三维重建与形态学分析，且为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔正畸主题，全文明确使用非牙科3D软件Mimics和Geomagic Wrap 2017进行Micro-CT三维重建与形态学分析，且为原创研究，符合全部纳入标准。"
intelligent geometry compensation for additive manufactured oral maxillary stent by genetic algorithm and backpropagation network,Intelligent geometry compensation for additive manufactured oral maxillary stent by genetic algorithm and backpropagation network,COMPUTERS IN BIOLOGY AND MEDICINE,journalArticle,No non-dental 3D software identified,Geomagic wrap; MATLAB; Magics,E1,该研究以口腔上颌支架为应用对象，自身使用Geomagic wrap、Magics等非牙科3D软件进行建模与重建，属原创研究，符合纳入标准。,"【判定】: E1
【理由】: 该研究以口腔上颌支架为应用对象，自身使用Geomagic wrap、Magics等非牙科3D软件进行建模与重建，属原创研究，符合纳入标准。"
