_nt,Title,期刊,Item Type,Key,PassA,PassB,判定,证据,软件,专科,应用场景,研究设计,原始返回
comparison of marginal accuracy in two different materials used in provisional crown and bridge an in vitro experimental study,Comparison of marginal accuracy in two different materials used in provisional crown and bridge - an in vitro experimental study,JOURNAL OF THE PAKISTAN MEDICAL ASSOCIATION,journalArticle,R8CJZGFR,,INCLUDE,INCLUDE,"""At the time of capturing the photograph, a graduated probe with millimetre markings was kept adjacent to the point of interest in order to calibrate the software (ImageJ, Version 1.52a, NIH, USA). For image calibration, the millimetre markings on the graduated probe were linked together by a straight line to serve as a 100μm standard scale. Against this calibrated scale, the marginal misfit was calculated by drawing a straight line from the prepared margin to the crown boundary""",ImageJ,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: ""At the time of capturing the photograph, a graduated probe with millimetre markings was kept adjacent to the point of interest in order to calibrate the software (ImageJ, Version 1.52a, NIH, USA). For image calibration, the millimetre markings on the graduated probe were linked together by a straight line to serve as a 100μm standard scale. Against this calibrated scale, the marginal misfit was calculated by drawing a straight line from the prepared margin to the crown boundary""
【软件】: ImageJ
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
biomimetic 3d printed gyroid scaffolds with versatile bioactive coatings for complex craniomaxillofacial bone regeneration,Biomimetic 3D-printed gyroid scaffolds with versatile bioactive coatings for complex craniomaxillofacial bone regeneration,BIOMEDICAL MATERIALS,journalArticle,BBL9T48I,INCLUDE,EXCLUDE,INCLUDE,"An artificial alveolar defect was generated digitally in Geomagic Freeform Plus (v. 2019, 3D Systems, Rock Hill, USA)...; the printed models were compared to the initial design and evaluated for accuracy using the 3D software Materialise 3-matic 17.0 (Materialise, Leuven, Belgium).",Geomagic Freeform Plus; Materialise 3-matic,Oral and Maxillofacial Surgery,Digital design and manufacturing,in_vitro,"【判定】: INCLUDE
【证据】: An artificial alveolar defect was generated digitally in Geomagic Freeform Plus (v. 2019, 3D Systems, Rock Hill, USA)...; the printed models were compared to the initial design and evaluated for accuracy using the 3D software Materialise 3-matic 17.0 (Materialise, Leuven, Belgium).
【软件】: Geomagic Freeform Plus; Materialise 3-matic
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Digital design and manufacturing
【研究设计】: in_vitro"
intelligent geometry compensation for additive manufactured oral maxillary stent by genetic algorithm and backpropagation network,Intelligent geometry compensation for additive manufactured oral maxillary stent by genetic algorithm and backpropagation network,COMPUTERS IN BIOLOGY AND MEDICINE,journalArticle,QHUP7V97,INCLUDE,INCLUDE,INCLUDE,"""The modeling of arc thin-walled parts and the generation of supporting structures were completed in the Magics (version 21.0, Materialise, Belgium)."" 以及 ""the compensated 3D coordinate sets were converted into point cloud data in the Geomagic wrap (version 2021, 3D Systems, USA) and a new compensated geometry was generated by 3D reconstruction.""",Magics; Geomagic Wrap,Prosthodontics,Digital design and manufacturing,computational,"【判定】: INCLUDE
【证据】: ""The modeling of arc thin-walled parts and the generation of supporting structures were completed in the Magics (version 21.0, Materialise, Belgium)."" 以及 ""the compensated 3D coordinate sets were converted into point cloud data in the Geomagic wrap (version 2021, 3D Systems, USA) and a new compensated geometry was generated by 3D reconstruction.""
【软件】: Magics; Geomagic Wrap
【专科】: Prosthodontics
【应用场景】: Digital design and manufacturing
【研究设计】: computational"
geometric plane alignment as a methodological requirement for accurate angular measurement in three dimensional craniofacial imaging,Geometric plane alignment as a methodological requirement for accurate angular measurement in three-dimensional craniofacial imaging.,BMC oral health,journalArticle,AY6279X7,,INCLUDE,INCLUDE,"""The image series was aligned to the Frankfort Horizontal Plane in Horos (v3.3.6) to obtain sagittal, axial, and coronal multiplanar reconstruction (MPR) views""",Horos,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,in_vitro,"【判定】: INCLUDE
【证据】: ""The image series was aligned to the Frankfort Horizontal Plane in Horos (v3.3.6) to obtain sagittal, axial, and coronal multiplanar reconstruction (MPR) views""
【软件】: Horos
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: in_vitro"
accuracy of guided implant surgery obtained using 3d printed surgical guides an in vitro comparison of four evaluation methods,Accuracy of guided implant surgery obtained using 3D-printed surgical guides - An in vitro comparison of four evaluation methods,INTERNATIONAL JOURNAL OF COMPUTERIZED DENTISTRY,journalArticle,2TPBCDEY,INCLUDE,EXCLUDE,INCLUDE,"These surface scans were imported into 3D analysis software (GOM Inspect Suite 2020; GOM) and merged to transfer the implant positions to the digitized cast. / In GOM Inspect, the reference stl files and the respective post insertion stl files were aligned in one coordinate system via a best-fit algorithm.",GOM Inspect,Implantology,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: These surface scans were imported into 3D analysis software (GOM Inspect Suite 2020; GOM) and merged to transfer the implant positions to the digitized cast. / In GOM Inspect, the reference stl files and the respective post insertion stl files were aligned in one coordinate system via a best-fit algorithm.
【软件】: GOM Inspect
【专科】: Implantology
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
effect of framework material and gyroid lattice design on the biomechanics of all on four full arch prostheses,Effect of framework material and gyroid lattice design on the biomechanics of all-on-four full-arch prostheses.,BMC oral health,journalArticle,9D6677BV,INCLUDE,EXCLUDE,INCLUDE,"Tomographic slices with a thickness of 0.33 mm were imported into 3D Slicer (v5.2.2, Boston, MA, USA) in DICOM format, segmented according to Hounsfield unit thresholds... The STL files were then processed in Blender (version 3.6, Blender Foundation, Amsterdam, Netherlands) for reverse engineering and geometric refinement. ... The alignment and mesh compatibility among all components were verified using Altair HyperMesh (version 2023.1, Altair Engineering Inc., Troy, MI, USA)",3D Slicer; Blender; Altair HyperMesh,Prosthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: Tomographic slices with a thickness of 0.33 mm were imported into 3D Slicer (v5.2.2, Boston, MA, USA) in DICOM format, segmented according to Hounsfield unit thresholds... The STL files were then processed in Blender (version 3.6, Blender Foundation, Amsterdam, Netherlands) for reverse engineering and geometric refinement. ... The alignment and mesh compatibility among all components were verified using Altair HyperMesh (version 2023.1, Altair Engineering Inc., Troy, MI, USA)
【软件】: 3D Slicer; Blender; Altair HyperMesh
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
in vivo trueness and precision of full arch implant scans using intraoral scanners with three different acquisition protocols,In vivo trueness and precision of full-arch implant scans using intraoral scanners with three different acquisition protocols,JOURNAL OF DENTISTRY,journalArticle,RB2EMABN,INCLUDE,EXCLUDE,INCLUDE,"""CAD files were defeatured... (Geomagic Design X, version 2019.0.0 64-bit; 3D Systems)"" 及 ""The Datums were created in 3D inspection software Geomagic Control X (Software version 2018.1.1 64-bit; 3D Systems)""",Geomagic Design X; Geomagic Control X,Implantology,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【证据】: ""CAD files were defeatured... (Geomagic Design X, version 2019.0.0 64-bit; 3D Systems)"" 及 ""The Datums were created in 3D inspection software Geomagic Control X (Software version 2018.1.1 64-bit; 3D Systems)""
【软件】: Geomagic Design X; Geomagic Control X
【专科】: Implantology
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
prosthesis repair of oral implants based on artificial intelligenc e finite element analysis,Prosthesis repair of oral implants based on artificial intelligenc`e finite element analysis,SLAS TECHNOLOGY,journalArticle,CKG49MIJ,INCLUDE,EXCLUDE,INCLUDE,"""The MIMICS program models the mandible’s geometry for the FEA analysis."" 及 ""To generate the data, ANSYS 14.0 takes into account 180 simulations.""",MIMICS; ANSYS,Implantology,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""The MIMICS program models the mandible’s geometry for the FEA analysis."" 及 ""To generate the data, ANSYS 14.0 takes into account 180 simulations.""
【软件】: MIMICS; ANSYS
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
hierarchical 2d to 3d micro nano histology of human dental caries lesions using light x ray and electron microscopy,"Hierarchical 2D to 3D micro/nano-histology of human dental caries lesions using light, X-ray and electron microscopy",MATERIALS & DESIGN,journalArticle,VXGSB6P7,INCLUDE,EXCLUDE,INCLUDE,"The acquired two-dimensional (2D) SEM and FIB images were analysed using Avizo software (Thermo Fisher Scientiﬁc, USA)；The process was done using segmentation tools and editor in Avizo；A fast Fourier transform (FFT) ﬁlter module in Avizo was used to reduce this artefact；The trajectory of the structure of the remaining material and measurement of orientation angles were carried out on BSi using Avizo",Avizo,Cariology,Image segmentation and 3D reconstruction,in_vitro,"【判定】: INCLUDE
【证据】: The acquired two-dimensional (2D) SEM and FIB images were analysed using Avizo software (Thermo Fisher Scientiﬁc, USA)；The process was done using segmentation tools and editor in Avizo；A fast Fourier transform (FFT) ﬁlter module in Avizo was used to reduce this artefact；The trajectory of the structure of the remaining material and measurement of orientation angles were carried out on BSi using Avizo
【软件】: Avizo
【专科】: Cariology
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: in_vitro"
study on 3d printed mxene berberine integrated scaffold for photo activated antibacterial activity and bone regeneration,Study on 3D printed MXene-berberine-integrated scaffold for photo-activated antibacterial activity and bone regeneration,JOURNAL OF MATERIALS CHEMISTRY B,journalArticle,T6EQ48WZ,INCLUDE,EXCLUDE,INCLUDE,"The mandibles were reconstructed and the fundamental parameters were quantitively analyzed with a Mimics software (Materialise, Belgium).",Mimics,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: The mandibles were reconstructed and the fundamental parameters were quantitively analyzed with a Mimics software (Materialise, Belgium).
【软件】: Mimics
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
multi architecture deep learning for cbct segmentation of dental hard tissues and pulp in mixed dentition,Multi-Architecture deep learning for CBCT segmentation of dental hard tissues and pulp in mixed dentition.,Journal of dentistry,journalArticle,K9NG599R,INCLUDE,EXCLUDE,INCLUDE,"""Original de-identified DICOM files of 105 CBCT scans (29,478 image layers) were imported into an image segmentation software, ITK-SNAP, (open-source free software version 4.4.0 alpha-3), and converted to nii.gz files, for semi-automated segmentation of the hard tooth structure, pulp and root canals of primary and permanent teeth""",ITK-SNAP,Pediatric Dentistry,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: ""Original de-identified DICOM files of 105 CBCT scans (29,478 image layers) were imported into an image segmentation software, ITK-SNAP, (open-source free software version 4.4.0 alpha-3), and converted to nii.gz files, for semi-automated segmentation of the hard tooth structure, pulp and root canals of primary and permanent teeth""
【软件】: ITK-SNAP
【专科】: Pediatric Dentistry
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
protease responsive protein hydrogel enabling spatiotemporal clo2 release for precision treatment of intracellular infections and periodontitis,Protease-responsive protein hydrogel enabling spatiotemporal ClO2 release for precision treatment of intracellular infections and periodontitis,MATERIALS & DESIGN,journalArticle,DFBH82QS,INCLUDE,INCLUDE,INCLUDE,"Three-dimensional reconstruction was then performed using Mimics Medical 21.0 software for comparative assessment of alveolar bone defect repair in each group. The distance from the cementoenamel junction (CEJ) to the alveolar bone crest (ABC) was measured at the mesial angle, midpoint and distal angle of the second maxillary molar (buccal and palatal) in Mimics 3D images",Mimics Medical 21.0,Periodontology,Image segmentation and 3D reconstruction,clinical,"【判定】: INCLUDE
【证据】: Three-dimensional reconstruction was then performed using Mimics Medical 21.0 software for comparative assessment of alveolar bone defect repair in each group. The distance from the cementoenamel junction (CEJ) to the alveolar bone crest (ABC) was measured at the mesial angle, midpoint and distal angle of the second maxillary molar (buccal and palatal) in Mimics 3D images
【软件】: Mimics Medical 21.0
【专科】: Periodontology
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: clinical"
impact of framework material cantilever design and wing configuration on stress distribution in patient specific additively manufactured subperiosteal jaw implants a 3d finite element analysis,"Impact of framework material, cantilever design, and wing configuration on stress distribution in patient specific additively manufactured subperiosteal jaw implants: a 3D finite element analysis",BMC ORAL HEALTH,journalArticle,RYA4IC44,INCLUDE,EXCLUDE,INCLUDE,"The bone model was created and exported as an STL file using 3D Slicer, while reverse engineering and CAD operations were performed in ANSYS SpaceClaim. Solid model adaptation for analysis, mesh optimization, and FEA simulations were conducted in ANSYS Workbench, with solutions obtained using the LS-DYNA solver. ... Accurate spatial positioning of all components was achieved in Rhinoceros 4.0, and a detailed 3D mesh was generated in VRMesh Studio",3D Slicer; ANSYS SpaceClaim; ANSYS Workbench; LS-DYNA; Rhinoceros 4.0; VRMesh Studio,Implantology,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: The bone model was created and exported as an STL file using 3D Slicer, while reverse engineering and CAD operations were performed in ANSYS SpaceClaim. Solid model adaptation for analysis, mesh optimization, and FEA simulations were conducted in ANSYS Workbench, with solutions obtained using the LS-DYNA solver. ... Accurate spatial positioning of all components was achieved in Rhinoceros 4.0, and a detailed 3D mesh was generated in VRMesh Studio
【软件】: 3D Slicer; ANSYS SpaceClaim; ANSYS Workbench; LS-DYNA; Rhinoceros 4.0; VRMesh Studio
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
effect of print orientation of 3d printed aligner templates on the volumetric accuracy of transferred composite attachments an in vitro study,Effect of print orientation of 3D-printed aligner templates on the volumetric accuracy of transferred composite attachments: an in vitro study,CLINICAL ORAL INVESTIGATIONS,journalArticle,R6YFN9SG,INCLUDE,INCLUDE,INCLUDE,"""Percentage volume deviations of the transferred versus planned attachment were quantified using Geomagic Control software (v.2020.1.1, ©2020 3D Systems, Inc., Rock Hill, SC)""；""The modified digital models were exported to STL-file and imported into Geomagic Control X software (version 2020.1.1, © 2020 3D Systems, Inc., Rock Hill, SC) for the sectioning and isolation of teeth 1.1 and 1.6""；""Cutting planes were created in Geomagic Control X software (v.2020.1.1, ©2020 3D Systems, Inc., Rock Hill, S",Geomagic Control X,Orthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: ""Percentage volume deviations of the transferred versus planned attachment were quantified using Geomagic Control software (v.2020.1.1, ©2020 3D Systems, Inc., Rock Hill, SC)""；""The modified digital models were exported to STL-file and imported into Geomagic Control X software (version 2020.1.1, © 2020 3D Systems, Inc., Rock Hill, SC) for the sectioning and isolation of teeth 1.1 and 1.6""；""Cutting planes were created in Geomagic Control X software (v.2020.1.1, ©2020 3D Systems, Inc., Rock Hill, SC)""
【软件】: Geomagic Control X
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
comparison of stereolithography stl and polygon file format ply for intraoral scans from chairside to archive,Comparison of stereolithography (STL) and polygon file format (PLY) for intraoral scans: From chairside to archive.,Journal of dentistry,journalArticle,5MX98NQ5,INCLUDE,INCLUDE,INCLUDE,"""Original STL files were converted into PLY and then reconverted into STL using four open-source tools: Trimesh, PyMeshLab, Blender 3.6, and Blender 4.4."" / ""The original STL files (STL-0) were converted to PLY format using four tools: Trimesh 4.6 (PLY-TM), PyMeshLab 2023.12 (PLY-PML), Blender 3.6 (PLY-B3.6), and Blender 4.4 (PLY-B4.4).""",Blender; PyMeshLab; Trimesh,Prosthodontics,3D data analysis and accuracy assessment,computational,"【判定】: INCLUDE
【证据】: ""Original STL files were converted into PLY and then reconverted into STL using four open-source tools: Trimesh, PyMeshLab, Blender 3.6, and Blender 4.4."" / ""The original STL files (STL-0) were converted to PLY format using four tools: Trimesh 4.6 (PLY-TM), PyMeshLab 2023.12 (PLY-PML), Blender 3.6 (PLY-B3.6), and Blender 4.4 (PLY-B4.4).""
【软件】: Blender; PyMeshLab; Trimesh
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: computational"
spatiotemporal mechanical stimuli from dental crypt during tooth development an integrated experimental and computational study,Spatiotemporal mechanical stimuli from dental crypt during tooth development: An integrated experimental and computational study,EXTREME MECHANICS LETTERS,journalArticle,A3GV56C7,INCLUDE,EXCLUDE,INCLUDE,"""The micro-CT images were reconstructed using Avizo software (Thermo Fisher Scientific, Burlington, MA)."" 以及 ""These meshes were then imported into Abaqus software (Simulia Inc., Johnston, RI) for finite element analysis.""",Avizo; Abaqus,Oral and Maxillofacial Surgery / Oral Biology (tooth development) — 主要口腔专科: Oral Biology,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""The micro-CT images were reconstructed using Avizo software (Thermo Fisher Scientific, Burlington, MA)."" 以及 ""These meshes were then imported into Abaqus software (Simulia Inc., Johnston, RI) for finite element analysis.""
【软件】: Avizo; Abaqus
【专科】: Oral and Maxillofacial Surgery / Oral Biology (tooth development) — 主要口腔专科: Oral Biology
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
etched 3d printed polycaprolactone constructs functionalized with reduced graphene oxide for enhanced attachment of dental pulp derived stem cells,Etched 3D-Printed Polycaprolactone Constructs Functionalized with Reduced Graphene Oxide for Enhanced Attachment of Dental Pulp-Derived Stem Cells,PHARMACEUTICS,journalArticle,DCJH8XKA,,INCLUDE,INCLUDE,PCL and rGO-PCL lattice structures were designed in Autodesk Inventor CAD software to tailor interior negative space within constructs and to add sacrificial supports.,Autodesk Inventor,Oral and Maxillofacial Surgery,Digital design and manufacturing,in_vitro,"【判定】: INCLUDE
【证据】: PCL and rGO-PCL lattice structures were designed in Autodesk Inventor CAD software to tailor interior negative space within constructs and to add sacrificial supports.
【软件】: Autodesk Inventor
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Digital design and manufacturing
【研究设计】: in_vitro"
impact of the superimposition reference area on intraoral scanning accuracy in a partially dentate maxilla,Impact of the superimposition reference area on intraoral scanning accuracy in a partially dentate maxilla.,The Journal of prosthetic dentistry,journalArticle,3FJVJNIB,INCLUDE,INCLUDE,INCLUDE,Accuracy was assessed by using a 3D analysis program (Geomagic Control X; 3D systems) for each scanner at 4 preselected areas. / surface differences were calculated with a 3D analysis software program (Geomagic Control X; 3D Systems).,Geomagic Control X,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: Accuracy was assessed by using a 3D analysis program (Geomagic Control X; 3D systems) for each scanner at 4 preselected areas. / surface differences were calculated with a 3D analysis software program (Geomagic Control X; 3D Systems).
【软件】: Geomagic Control X
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
a customised 3d u net model for bifid mandibular canal segmentation and detection on cbct a diagnostic accuracy study,A customised 3D U-Net model for bifid mandibular canal segmentation and detection on CBCT: a diagnostic accuracy study,BMC ORAL HEALTH,journalArticle,567Q4TW9,INCLUDE,EXCLUDE,INCLUDE,"Ground truth labels were generated through manual voxel-wise segmentation using 3D Slicer (version 5.8; The Slicer Community, Boston, MA, USA).",3D Slicer,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: Ground truth labels were generated through manual voxel-wise segmentation using 3D Slicer (version 5.8; The Slicer Community, Boston, MA, USA).
【软件】: 3D Slicer
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
clinical efficacy of early intervention timing for inversely impacted maxillary central incisors,Clinical efficacy of early intervention timing for inversely impacted maxillary central incisors,JOURNAL OF CLINICAL PEDIATRIC DENTISTRY,journalArticle,UYKQ4QIQ,INCLUDE,INCLUDE,INCLUDE,"""The data was exported from the NewTom (NNT) workstation software ... and imported into Materialise Interactive Medical Image Control System (Mimics 21.0 software, Materialise, Belgium)."" 以及 ""The three-dimensional modeling of the oral and maxillofacial region was performed using Mimics 21.0 software (Materialise, Belgium) after importing the CBCT data of the pediatric patients.""",Mimics,Pediatric Dentistry,Image segmentation and 3D reconstruction,clinical,"【判定】: INCLUDE
【证据】: ""The data was exported from the NewTom (NNT) workstation software ... and imported into Materialise Interactive Medical Image Control System (Mimics 21.0 software, Materialise, Belgium)."" 以及 ""The three-dimensional modeling of the oral and maxillofacial region was performed using Mimics 21.0 software (Materialise, Belgium) after importing the CBCT data of the pediatric patients.""
【软件】: Mimics
【专科】: Pediatric Dentistry
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: clinical"
2d to 3d predicting three dimensional 3d cephalometric measurements from two conventional x ray images,2D-to-3D: Predicting three-dimensional (3D) cephalometric measurements from two conventional X-ray images,JOURNAL OF OROFACIAL ORTHOPEDICS-FORTSCHRITTE DER KIEFERORTHOPADIE,journalArticle,Q3UWJ9BC,INCLUDE,INCLUDE,INCLUDE,"""An orthodontic expert manually plotted all the 3D cephalometric landmarks using the 3D Slicer software for validation. The landmarks' coordinates were exported from the slicer software to Microsoft Excel""",3D Slicer; MATLAB,Orthodontics,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: ""An orthodontic expert manually plotted all the 3D cephalometric landmarks using the 3D Slicer software for validation. The landmarks' coordinates were exported from the slicer software to Microsoft Excel""
【软件】: 3D Slicer; MATLAB
【专科】: Orthodontics
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
impact of profile angle of cad cam abutment on the marginal bone loss of implant supported single tooth posterior restorations,Impact of profile angle of CAD-CAM abutment on the marginal bone loss of implant-supported single-tooth posterior restorations,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,92FDR9R4,INCLUDE,EXCLUDE,INCLUDE,"using a CAD software program (AutoCAD 2019; Autodesk), 3 lines parallel to the implant platform were drawn apart from the implant-abutment junction in the coronal direction at 1 mm, 2 mm, and 3 mm.",AutoCAD,Prosthodontics,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【证据】: using a CAD software program (AutoCAD 2019; Autodesk), 3 lines parallel to the implant platform were drawn apart from the implant-abutment junction in the coronal direction at 1 mm, 2 mm, and 3 mm.
【软件】: AutoCAD
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
biomechanical evaluation of prosthetic framework materials in subperiosteal implants a finite element analysis,Biomechanical evaluation of prosthetic framework materials in subperiosteal implants: a finite element analysis,BMC ORAL HEALTH,journalArticle,A2IQLI82,INCLUDE,EXCLUDE,INCLUDE,"""The obtained CBCT images were converted into STL format using the Mimics Innovation Suite 24.0 software""; ""The STL models of the bone, implant, fixation screws, and prosthetic components were transferred into the SolidWorks software""; ""The modelling process was performed using SolidWorks software""; ""Three-dimensional anatomical models used in the present study were generated using ANSYS SpaceClaim software ... These solid models were then imported into ANSYS 2023 R1 Workbench software""",Mimics Innovation Suite; SolidWorks; ANSYS SpaceClaim; ANSYS Workbench,Prosthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""The obtained CBCT images were converted into STL format using the Mimics Innovation Suite 24.0 software""; ""The STL models of the bone, implant, fixation screws, and prosthetic components were transferred into the SolidWorks software""; ""The modelling process was performed using SolidWorks software""; ""Three-dimensional anatomical models used in the present study were generated using ANSYS SpaceClaim software ... These solid models were then imported into ANSYS 2023 R1 Workbench software""
【软件】: Mimics Innovation Suite; SolidWorks; ANSYS SpaceClaim; ANSYS Workbench
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
a 3d in vitro model of the human dentine interface shows long range osteoinduction from the dentine surface,A 3D In-vitro model of the human dentine interface shows long-range osteoinduction from the dentine surface,INTERNATIONAL JOURNAL OF ORAL SCIENCE,journalArticle,9RK8X4SA,,INCLUDE,INCLUDE,STL ﬁles were generated using Autodesk Inventor and sliced using the BioX on-board slicer,Autodesk Inventor,Oral and Maxillofacial Surgery,Digital design and manufacturing,in_vitro,"【判定】: INCLUDE
【证据】: STL ﬁles were generated using Autodesk Inventor and sliced using the BioX on-board slicer
【软件】: Autodesk Inventor
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Digital design and manufacturing
【研究设计】: in_vitro"
ai driven automation of occlusal surface design in digital prosthodontics a clinically validated workflow,AI-driven automation of occlusal surface design in digital prosthodontics: a clinically validated workflow,BMC ORAL HEALTH,journalArticle,PWK5Z86Q,INCLUDE,EXCLUDE,INCLUDE,"""occlusal surfaces of target teeth were manually segmented from 90 occlusally aligned intraoral scans ... using 3-matic 17.0 (Materialise, Leuven, Belgium)""；""using surface deviation metrics derived from 3D comparisons in 3-matic software""；""Using 3-matic (Materialise, Leuven, Belgium), the occlusal surface of each reconstructed crown was manually partitioned into three anatomically defined regions""",3-matic,Prosthodontics,3D data analysis and accuracy assessment,computational,"【判定】: INCLUDE
【证据】: ""occlusal surfaces of target teeth were manually segmented from 90 occlusally aligned intraoral scans ... using 3-matic 17.0 (Materialise, Leuven, Belgium)""；""using surface deviation metrics derived from 3D comparisons in 3-matic software""；""Using 3-matic (Materialise, Leuven, Belgium), the occlusal surface of each reconstructed crown was manually partitioned into three anatomically defined regions""
【软件】: 3-matic
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: computational"
detecting mandible fractures in cbct scans using a 3 stage neural network,Detecting Mandible Fractures in CBCT Scans Using a 3-Stage Neural Network.,Journal of dental research,journalArticle,UVGSTG9C,INCLUDE,INCLUDE,INCLUDE,"""The complete mandibles and mandibular fractures were segmented slice by slice based on electronic medical records by a resident in OMF surgery (S.S., 4 y experience) and reviewed and revised by an experienced OMF surgeon (T.X., minimum 15 y experience) using ITK-SNAP (version 3.6.0; Appendix Fig. 1A–D).""",ITK-SNAP,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: ""The complete mandibles and mandibular fractures were segmented slice by slice based on electronic medical records by a resident in OMF surgery (S.S., 4 y experience) and reviewed and revised by an experienced OMF surgeon (T.X., minimum 15 y experience) using ITK-SNAP (version 3.6.0; Appendix Fig. 1A–D).""
【软件】: ITK-SNAP
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
digital model superimpositions are different software algorithms equally accurate in quantifying linear tooth movements,Digital model superimpositions: are different software algorithms equally accurate in quantifying linear tooth movements?,BMC ORAL HEALTH,journalArticle,J4VD92PC,INCLUDE,INCLUDE,INCLUDE,"""Both the pretreatment digital scans (T1) and Digital Setups (T2) were converted to STL files to be imported to the three studied software packages: Geomagic, OrthoAnalyzer and Compare."" 及 ""T1 and T2 models were imported as STL files to the tooth measuring software programs, for registration and 3D linear measurements.""",Geomagic,Orthodontics,3D data analysis and accuracy assessment,computational,"【判定】: INCLUDE
【证据】: ""Both the pretreatment digital scans (T1) and Digital Setups (T2) were converted to STL files to be imported to the three studied software packages: Geomagic, OrthoAnalyzer and Compare."" 及 ""T1 and T2 models were imported as STL files to the tooth measuring software programs, for registration and 3D linear measurements.""
【软件】: Geomagic
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: computational"
accuracy of face scan based virtual facebow records a comparison between two registration methods,Accuracy of face scan-based virtual facebow records: A comparison between two registration methods,JOURNAL OF PROSTHODONTICS-IMPLANT ESTHETIC AND RECONSTRUCTIVE DENTISTRY,journalArticle,U2VNRQWT,INCLUDE,EXCLUDE,INCLUDE,"""The scans were imported into an open-source 3D computer software (Blender, version 2.80; The Blender Foundation).""",Blender,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: ""The scans were imported into an open-source 3D computer software (Blender, version 2.80; The Blender Foundation).""
【软件】: Blender
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
